Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Mike Dunleavy,36.0,190.0,81.0,New York,Brooklyn,University of South Carolina,ATL,SF,1662500.0,30.0,0.0,169.0,475.0,11.9,0.2,0.7,0.5,1.2,0.1,57.0,130.0,33.0,77.0,24.0,53.0,22.0,26.0,13.0,55.0,68.0,30.0,9.0,5.0,14.0,35.0,0.021957271088110276,2195727,533227
2017.0,Tim Hardaway,24.0,183.0,79.0,Illinois,Chicago,University of Texas at El Paso,ATL,SG,16500000.0,79.0,30.0,1143.0,2154.0,15.2,0.235,2.7,2.1,4.8,0.9,415.0,912.0,149.0,417.0,266.0,495.0,164.0,214.0,35.0,189.0,224.0,182.0,55.0,15.0,106.0,103.0,0.10243595212079401,10243595,-6256405
2017.0,Kyle Korver,35.0,201.0,96.0,California,Lakewood,Creighton University,ATL,SG,7000000.0,32.0,21.0,305.0,894.0,10.9,0.11,0.7,0.9,1.6,0.4,108.0,246.0,65.0,159.0,43.0,87.0,24.0,27.0,1.0,89.0,90.0,75.0,23.0,13.0,40.0,47.0,0.03549828819308122,3549828,-3450172
2017.0,Dwight Howard,31.0,211.0,120.0,Georgia,Atlanta,Unknown,ATL,C,23500000.0,74.0,74.0,1002.0,2199.0,20.8,0.6920000000000001,3.8,4.5,8.3,2.4,388.0,613.0,0.0,2.0,388.0,611.0,226.0,424.0,296.0,644.0,940.0,104.0,64.0,92.0,170.0,203.0,0.1618650711998112,16186507,-7313493
2017.0,Kris Humphries,31.0,206.0,106.0,Minnesota,Minneapolis,University of Minnesota,ATL,PF,2328652.0,56.0,4.0,257.0,689.0,13.6,0.383,0.6,1.1,1.6,-0.1,87.0,214.0,19.0,54.0,68.0,160.0,64.0,82.0,60.0,146.0,206.0,29.0,15.0,21.0,28.0,69.0,0.03829054534983556,3829054,1500402
2017.0,Jose Calderon,35.0,190.0,90.0,Spain,Villanueva de la Serena,Unknown,ATL,PG,2328652.0,17.0,2.0,61.0,247.0,8.7,0.14,0.1,0.2,0.3,-0.1,23.0,57.0,8.0,30.0,15.0,27.0,7.0,8.0,7.0,25.0,32.0,37.0,4.0,0.0,15.0,14.0,0.009603372091392146,960337,-1368315
2017.0,Ersan Ilyasova,29.0,208.0,106.0,Turkey,Eskisehir,Unknown,ATL,PF,6000000.0,26.0,12.0,270.0,633.0,13.5,0.28800000000000003,0.5,0.9,1.4,0.3,93.0,226.0,32.0,92.0,61.0,134.0,52.0,65.0,42.0,109.0,151.0,43.0,22.0,8.0,34.0,73.0,0.03631802810055243,3631802,-2368198
2017.0,Paul Millsap,31.0,203.0,111.0,Louisiana,Monroe,Louisiana Tech University,ATL,PF,31269231.0,69.0,67.0,1246.0,2343.0,17.8,0.417,2.6,3.8,6.4,2.7,430.0,972.0,75.0,241.0,355.0,731.0,311.0,405.0,111.0,422.0,533.0,252.0,90.0,62.0,158.0,186.0,0.15136822754039123,15136822,-16132409
2017.0,Thabo Sefolosha,32.0,201.0,99.0,Switzerland,Vevey,Unknown,ATL,SF,5250000.0,62.0,42.0,444.0,1596.0,11.9,0.19,0.6,2.7,3.3,1.3,174.0,395.0,41.0,120.0,133.0,275.0,55.0,75.0,54.0,216.0,270.0,107.0,96.0,31.0,58.0,97.0,0.07041465311415507,7041465,1791465
2017.0,Kent Bazemore,27.0,196.0,91.0,North Carolina,Kelford,Old Dominion University,ATL,SF,16910113.0,73.0,64.0,801.0,1963.0,11.5,0.233,-0.6,2.8,2.1,0.6,295.0,721.0,92.0,266.0,203.0,455.0,119.0,168.0,45.0,186.0,231.0,177.0,91.0,52.0,125.0,165.0,0.08800086775366076,8800086,-8110027
