Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Gerald Green,31.0,201.0,92.0,Texas,Houston,Unknown,BOS,SF,947248.0,47.0,0.0,262.0,538.0,12.0,0.177,0.1,0.4,0.6,-0.4,95.0,232.0,39.0,111.0,56.0,121.0,33.0,41.0,17.0,68.0,85.0,33.0,9.0,7.0,25.0,48.0,0.02112074475844398,2112074,1164826
2017.0,Amir Johnson,29.0,206.0,108.0,California,Los Angeles,Unknown,BOS,PF,11000000.0,80.0,77.0,520.0,1608.0,15.0,0.27,2.9,2.1,5.0,1.7,213.0,370.0,27.0,66.0,186.0,304.0,67.0,100.0,117.0,248.0,365.0,140.0,52.0,62.0,77.0,211.0,0.10187269286527464,10187269,-812731
2017.0,Al Horford,30.0,208.0,111.0,Dominican Republic,Puerto Plata,University of Florida,BOS,C,27734405.0,68.0,68.0,952.0,2193.0,17.7,0.16899999999999998,3.6,2.7,6.3,2.8,379.0,801.0,86.0,242.0,293.0,559.0,108.0,135.0,95.0,369.0,464.0,337.0,52.0,87.0,116.0,138.0,0.13712097725499095,13712097,-14022308
2017.0,Jonas Jerebko,29.0,208.0,104.0,Sweden,Kinna,Unknown,BOS,PF,4000000.0,78.0,6.0,299.0,1232.0,9.3,0.141,0.8,1.3,2.1,0.0,114.0,262.0,45.0,130.0,69.0,132.0,26.0,37.0,60.0,213.0,273.0,71.0,26.0,17.0,39.0,122.0,0.048385042905517414,4838504,838504
2017.0,Avery Bradley,26.0,188.0,81.0,Washington,Tacoma,University of Texas at Austin,BOS,SG,8808989.0,55.0,55.0,894.0,1835.0,14.4,0.12,1.1,2.0,3.1,0.7,359.0,775.0,108.0,277.0,251.0,498.0,68.0,93.0,65.0,269.0,334.0,121.0,68.0,11.0,88.0,141.0,0.08853340512931215,8853340,44351
2017.0,Isaiah Thomas,27.0,185.0,81.0,Illinois,Chicago,Indiana University,BOS,PG,6261395.0,76.0,76.0,2199.0,2569.0,26.5,0.441,10.9,1.6,12.6,4.8,682.0,1473.0,245.0,646.0,437.0,827.0,590.0,649.0,43.0,162.0,205.0,449.0,70.0,13.0,210.0,167.0,0.16919284206439614,16919284,10657889
2017.0,Jae Crowder,26.0,198.0,106.0,Georgia,Villa Rica,Marquette University,BOS,SF,6796117.0,72.0,72.0,999.0,2335.0,14.9,0.301,4.2,2.5,6.7,2.1,333.0,720.0,157.0,394.0,176.0,326.0,176.0,217.0,48.0,367.0,415.0,155.0,72.0,23.0,79.0,161.0,0.11111121487942767,11111121,4315004
2017.0,Tyler Zeller,27.0,213.0,114.0,California,Visalia,University of North Carolina,BOS,C,1709538.0,51.0,5.0,178.0,525.0,13.0,0.247,0.5,0.6,1.0,-0.1,78.0,158.0,0.0,1.0,78.0,157.0,22.0,39.0,43.0,81.0,124.0,42.0,7.0,21.0,20.0,61.0,0.028333687563938927,2833368,1123830
2017.0,Kelly Olynyk,25.0,213.0,107.0,Canada,Toronto,Gonzaga University,BOS,C,10607169.0,75.0,6.0,678.0,1538.0,15.2,0.242,2.2,1.9,4.1,1.0,260.0,508.0,68.0,192.0,192.0,316.0,90.0,123.0,72.0,288.0,360.0,148.0,43.0,29.0,96.0,207.0,0.0831510573515052,8315105,-2292064
2017.0,Marcus Smart,22.0,193.0,99.0,Texas,Flower Mound,Oklahoma State University,BOS,SG,4538020.0,79.0,24.0,835.0,2399.0,12.0,0.334,0.5,2.7,3.2,1.0,269.0,749.0,94.0,332.0,175.0,417.0,203.0,250.0,78.0,228.0,306.0,364.0,125.0,34.0,159.0,192.0,0.102981209485665,10298120,5760100
