Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Randy Foye,33.0,193.0,96.0,New Jersey,Newark,Villanova University,BRK,SG,2500000.0,69.0,40.0,357.0,1284.0,7.3,0.194,-0.6,0.7,0.2,-0.6,118.0,325.0,67.0,203.0,51.0,122.0,54.0,63.0,9.0,146.0,155.0,135.0,35.0,9.0,80.0,99.0,0.023289410106717482,2328941,-171059
2017.0,Luis Scola,36.0,206.0,108.0,Argentina,Buenos Aires,Unknown,BRK,PF,5000000.0,36.0,1.0,184.0,461.0,13.9,0.245,0.4,0.4,0.8,0.1,71.0,151.0,17.0,50.0,54.0,101.0,25.0,37.0,51.0,88.0,139.0,37.0,14.0,4.0,34.0,63.0,0.02825395561198625,2825395,-2174605
2017.0,Brook Lopez,28.0,213.0,124.0,California,North Hollywood,Stanford University,BRK,C,22642350.0,75.0,75.0,1539.0,2222.0,20.4,0.311,3.1,1.8,4.9,2.0,555.0,1172.0,134.0,387.0,421.0,785.0,295.0,364.0,121.0,282.0,403.0,176.0,38.0,124.0,184.0,192.0,0.21191114569186734,21191114,-1451236
2017.0,Trevor Booker,29.0,203.0,103.0,South Carolina,Newberry,Clemson University,BRK,PF,9125000.0,71.0,43.0,709.0,1754.0,15.7,0.18600000000000005,0.9,2.2,3.1,1.0,305.0,591.0,25.0,78.0,280.0,513.0,74.0,110.0,142.0,428.0,570.0,138.0,76.0,28.0,127.0,152.0,0.11582742476669922,11582742,2457742
2017.0,Jeremy Lin,28.0,190.0,90.0,California,Palo Alto,Harvard University,BRK,PG,12000000.0,36.0,33.0,523.0,883.0,19.2,0.353,1.3,0.8,2.1,0.9,175.0,400.0,58.0,156.0,117.0,244.0,115.0,141.0,11.0,124.0,135.0,184.0,41.0,14.0,86.0,79.0,0.08339824982266504,8339824,-3660176
2017.0,Quincy Acy,26.0,201.0,108.0,Texas,Tyler,Baylor University,BRK,PF,1709538.0,32.0,1.0,209.0,510.0,13.1,0.373,0.6,0.5,1.1,0.0,65.0,153.0,36.0,83.0,29.0,70.0,43.0,57.0,18.0,89.0,107.0,18.0,14.0,15.0,19.0,58.0,0.027444011043569812,2744401,1034863
2017.0,Andrew Nicholson,27.0,206.0,113.0,Canada,Mississauga,St. Bonaventure University,BRK,PF,2844429.0,10.0,0.0,30.0,111.0,5.0,0.059,-0.2,0.1,-0.1,-0.2,13.0,34.0,2.0,11.0,11.0,23.0,2.0,2.0,4.0,23.0,27.0,3.0,5.0,0.0,6.0,18.0,-0.001882623585302039,-188262,-3032691
2017.0,Anthony Bennett,23.0,203.0,111.0,Canada,Toronto,"University of Nevada, Las Vegas",BRK,PF,1577230.0,23.0,1.0,115.0,264.0,14.7,0.391,0.3,0.2,0.5,-0.1,38.0,92.0,13.0,48.0,25.0,44.0,26.0,36.0,25.0,53.0,78.0,12.0,5.0,3.0,12.0,18.0,0.01406959033389013,1406959,-170271
2017.0,Justin Hamilton,26.0,213.0,117.0,California,Newport Beach,Louisiana State University,BRK,C,1000000.0,64.0,7.0,442.0,1177.0,13.6,0.13699999999999998,1.0,1.0,2.1,0.4,174.0,379.0,55.0,181.0,119.0,198.0,39.0,52.0,71.0,191.0,262.0,55.0,29.0,43.0,43.0,91.0,0.06612829305000305,6612829,5612829
2017.0,Bojan Bogdanovic,27.0,198.0,92.0,Serbia,Belgrade,Unknown,BRK,SF,10500000.0,55.0,54.0,783.0,1482.0,13.1,0.273,1.1,0.6,1.6,-0.4,269.0,611.0,99.0,277.0,170.0,334.0,146.0,167.0,23.0,174.0,197.0,90.0,24.0,3.0,92.0,99.0,0.0620582081883351,6205820,-4294180
