Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Dwyane Wade,35.0,193.0,99.0,Illinois,Chicago,Marquette University,CHI,SG,15550000.0,60.0,59.0,1096.0,1792.0,18.5,0.294,0.9,2.5,3.4,1.4,414.0,955.0,45.0,145.0,369.0,810.0,223.0,281.0,64.0,207.0,271.0,229.0,86.0,41.0,138.0,112.0,0.10938703192707212,10938703,-4611297
2017.0,Rajon Rondo,30.0,185.0,84.0,Kentucky,Louisville,University of Kentucky,CHI,PG,3300000.0,69.0,42.0,538.0,1843.0,13.6,0.08900000000000001,-0.3,2.7,2.3,1.1,229.0,561.0,50.0,133.0,179.0,428.0,30.0,50.0,73.0,282.0,355.0,461.0,99.0,11.0,168.0,144.0,0.07964626866993738,7964626,4664626
2017.0,Robin Lopez,28.0,213.0,115.0,California,North Hollywood,Stanford University,CHI,C,13788500.0,81.0,81.0,839.0,2271.0,14.4,0.134,1.8,2.4,4.3,0.6,382.0,775.0,0.0,2.0,382.0,773.0,75.0,104.0,243.0,276.0,519.0,80.0,18.0,117.0,90.0,151.0,0.1095158613466749,10951586,-2836914
2017.0,Anthony Morrow,31.0,196.0,95.0,North Carolina,Charlotte,Georgia Institute of Technology,CHI,SG,2116955.0,9.0,0.0,41.0,87.0,16.0,0.379,0.3,0.0,0.3,0.0,12.0,29.0,6.0,14.0,6.0,15.0,11.0,11.0,1.0,1.0,2.0,6.0,2.0,0.0,0.0,4.0,0.00918418863653546,918418,-1198537
2017.0,Taj Gibson,31.0,206.0,102.0,New York,Brooklyn,University of Southern California,CHI,PF,14000000.0,55.0,55.0,639.0,1502.0,15.5,0.225,1.4,1.9,3.3,0.3,276.0,530.0,2.0,12.0,274.0,518.0,85.0,119.0,120.0,263.0,383.0,60.0,28.0,51.0,77.0,123.0,0.0789804471312087,7898044,-6101956
2017.0,Jimmy Butler,27.0,201.0,99.0,Texas,Houston,Marquette University,CHI,SF,19301070.0,76.0,75.0,1816.0,2809.0,25.1,0.54,10.1,3.8,13.8,6.3,570.0,1252.0,91.0,248.0,479.0,1004.0,585.0,676.0,129.0,341.0,470.0,417.0,143.0,32.0,159.0,112.0,0.213599862371049,21359986,2058916
2017.0,Isaiah Canaan,25.0,183.0,91.0,Mississippi,Biloxi,Murray State University,CHI,SG,1069308.0,39.0,0.0,181.0,592.0,8.1,0.191,0.0,0.5,0.5,-0.2,63.0,173.0,25.0,94.0,38.0,79.0,30.0,33.0,6.0,43.0,49.0,37.0,22.0,1.0,20.0,35.0,0.018520202193695063,1852020,782712
2017.0,Michael Carter-Williams,25.0,198.0,86.0,Massachusetts,Hamilton,Syracuse University,CHI,PG,2700000.0,45.0,19.0,297.0,846.0,9.9,0.252,-1.0,1.3,0.2,-0.1,112.0,306.0,15.0,64.0,97.0,242.0,58.0,77.0,24.0,128.0,152.0,113.0,38.0,23.0,66.0,102.0,0.0380699829508041,3806998,1106998
2017.0,Joffrey Lauvergne,25.0,211.0,99.0,France,Mulhouse,Unknown,CHI,C,1524305.0,20.0,1.0,89.0,241.0,11.6,0.163,-0.2,0.3,0.1,-0.1,37.0,92.0,6.0,20.0,31.0,72.0,9.0,15.0,21.0,47.0,68.0,19.0,7.0,0.0,16.0,12.0,0.012144961444655728,1214496,-309809
2017.0,Doug McDermott,25.0,203.0,102.0,North Dakota,Grand Forks,Creighton University,CHI,SF,3294994.0,44.0,4.0,447.0,1078.0,11.3,0.18,1.1,0.8,1.9,-0.2,166.0,373.0,56.0,149.0,110.0,224.0,59.0,67.0,14.0,116.0,130.0,45.0,11.0,4.0,32.0,57.0,0.03800123502965328,3800123,505129
2017.0,Nikola Mirotic,25.0,208.0,99.0,Montenegro,Podgorica,Unknown,CHI,PF,12500000.0,70.0,15.0,744.0,1679.0,14.5,0.205,1.3,2.5,3.8,1.0,258.0,625.0,129.0,377.0,129.0,248.0,99.0,128.0,61.0,323.0,384.0,75.0,53.0,56.0,79.0,128.0,0.08292181292865285,8292181,-4207819
