Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Marvin Williams,30.0,185.0,89.0,Mississippi,Jackson,University of Alabama,CHO,PF,13168750.0,76.0,76.0,849.0,2295.0,13.7,0.213,2.4,2.6,5.0,1.3,297.0,704.0,124.0,354.0,173.0,350.0,131.0,150.0,89.0,409.0,498.0,106.0,58.0,53.0,60.0,134.0,0.11020325372085218,11020325,-2148425
2017.0,Marco Belinelli,30.0,196.0,95.0,Italy,Bologna,Unknown,CHO,SG,6306060.0,74.0,0.0,780.0,1778.0,13.3,0.273,2.0,1.2,3.2,0.1,264.0,615.0,102.0,283.0,162.0,332.0,150.0,168.0,14.0,164.0,178.0,147.0,44.0,9.0,70.0,90.0,0.06900814958726831,6900814,594754
2017.0,Spencer Hawes,28.0,216.0,111.0,Washington,Seattle,University of Washington,CHO,PF,6021175.0,35.0,1.0,254.0,626.0,14.8,0.156,0.3,0.8,1.1,0.2,104.0,218.0,16.0,55.0,88.0,163.0,30.0,34.0,32.0,114.0,146.0,62.0,13.0,26.0,40.0,61.0,0.032375489090688436,3237548,-2783627
2017.0,Ramon Sessions,30.0,190.0,86.0,South Carolina,Myrtle Beach,"University of Nevada, Reno",CHO,PG,2328652.0,50.0,1.0,312.0,811.0,12.3,0.449,0.3,0.6,0.9,-0.6,100.0,263.0,21.0,62.0,79.0,201.0,91.0,118.0,11.0,62.0,73.0,129.0,26.0,3.0,46.0,43.0,0.030363724232045645,3036372,707720
2017.0,Nicolas Batum,28.0,203.0,90.0,France,Lisieux,Unknown,CHO,SG,22434783.0,77.0,77.0,1164.0,2617.0,15.8,0.29100000000000004,1.7,2.8,4.5,2.1,393.0,975.0,135.0,405.0,258.0,570.0,243.0,284.0,46.0,435.0,481.0,455.0,86.0,29.0,194.0,109.0,0.14043353691895716,14043353,-8391430
2017.0,Roy Hibbert,30.0,218.0,122.0,New York,Queens,Georgetown University,CHO,C,2941176.0,42.0,13.0,217.0,671.0,13.5,0.521,1.0,0.8,1.8,0.1,78.0,144.0,0.0,0.0,78.0,144.0,61.0,75.0,53.0,99.0,152.0,20.0,8.0,44.0,31.0,97.0,0.03578415833843816,3578415,637239
2017.0,Kemba Walker,26.0,203.0,95.0,Georgia,Roberta,University of Kentucky,CHO,PG,12000000.0,79.0,79.0,1830.0,2739.0,21.3,0.248,5.9,2.2,8.1,3.9,643.0,1449.0,240.0,602.0,403.0,847.0,304.0,359.0,45.0,263.0,308.0,435.0,85.0,22.0,168.0,119.0,0.1747475684698294,17474756,5474756
2017.0,Michael Kidd-Gilchrist,23.0,201.0,105.0,Pennsylvania,Philadelphia,University of Kentucky,CHO,SF,13000000.0,81.0,81.0,743.0,2349.0,14.3,0.314,2.7,3.1,5.8,1.3,295.0,618.0,1.0,9.0,294.0,609.0,152.0,194.0,156.0,409.0,565.0,114.0,81.0,77.0,56.0,187.0,0.11981241309465968,11981241,-1018759
2017.0,Jeremy Lamb,24.0,196.0,83.0,Virginia,Henrico Valley,University of Connecticut,CHO,SG,7000000.0,62.0,5.0,603.0,1143.0,17.0,0.263,1.4,1.3,2.7,0.1,226.0,491.0,41.0,146.0,185.0,345.0,110.0,129.0,30.0,234.0,264.0,75.0,27.0,23.0,40.0,98.0,0.05966047349212757,5966047,-1033953
2017.0,Miles Plumlee,28.0,211.0,112.0,Indiana,Fort Wayne,Duke University,CHO,C,12500000.0,13.0,0.0,31.0,174.0,9.0,0.16699999999999998,0.1,0.2,0.3,0.0,14.0,24.0,0.0,0.0,14.0,24.0,3.0,4.0,15.0,27.0,42.0,3.0,7.0,4.0,8.0,25.0,0.007607901348590775,760790,-11739210
