Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Mike Dunleavy,36.0,190.0,81.0,New York,Brooklyn,University of South Carolina,CLE,SF,1662500.0,23.0,2.0,106.0,366.0,7.6,0.211,0.1,0.2,0.3,-0.2,36.0,90.0,20.0,57.0,16.0,33.0,14.0,19.0,5.0,42.0,47.0,20.0,6.0,2.0,14.0,32.0,0.0117581795822681,1175817,-486683
2017.0,Richard Jefferson,36.0,201.0,105.0,California,Los Angeles,University of Arizona,CLE,SF,2500000.0,79.0,13.0,448.0,1614.0,8.2,0.315,1.3,0.8,2.1,-0.1,153.0,343.0,62.0,186.0,91.0,157.0,80.0,108.0,28.0,174.0,202.0,78.0,26.0,10.0,52.0,153.0,0.0499762911761116,4997629,2497629
2017.0,LeBron James,32.0,203.0,113.0,Ohio,Akron,Unknown,CLE,SF,33285709.0,74.0,74.0,1954.0,2794.0,27.0,0.395,9.8,3.0,12.9,7.3,736.0,1344.0,124.0,342.0,612.0,1002.0,358.0,531.0,97.0,543.0,640.0,646.0,92.0,44.0,303.0,134.0,0.21932399833790517,21932399,-11353310
2017.0,James Jones,36.0,190.0,81.0,Unknown,Unknown,Assumption College,CLE,SF,1551659.0,48.0,2.0,132.0,381.0,11.3,0.217,0.6,0.2,0.8,0.0,44.0,92.0,31.0,66.0,13.0,26.0,13.0,20.0,3.0,35.0,38.0,14.0,7.0,10.0,10.0,37.0,0.015808372454344577,1580837,29178
2017.0,Kyle Korver,35.0,201.0,96.0,California,Lakewood,Creighton University,CLE,SG,7000000.0,35.0,1.0,373.0,859.0,13.5,0.056,1.6,0.4,2.0,0.4,131.0,269.0,97.0,200.0,34.0,69.0,14.0,15.0,7.0,90.0,97.0,35.0,11.0,8.0,29.0,60.0,0.032041247704814035,3204124,-3795876
2017.0,J.R. Smith,31.0,188.0,86.0,Unknown,Unknown,Unknown,CLE,SG,13760000.0,41.0,35.0,351.0,1187.0,8.1,0.042,0.1,0.8,0.8,0.2,123.0,356.0,95.0,271.0,28.0,85.0,10.0,15.0,17.0,96.0,113.0,62.0,40.0,11.0,26.0,77.0,0.03828657525770176,3828657,-9931343
2017.0,Andrew Bogut,32.0,213.0,117.0,Australia,Melbourne,University of Utah,CLE,C,2328652.0,1.0,0.0,0.0,1.0,-35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.004916314894496753,-491631,-2820283
2017.0,Channing Frye,33.0,211.0,115.0,New York,White Plains,University of Arizona,CLE,C,7420912.0,74.0,15.0,676.0,1398.0,15.6,0.142,2.3,1.4,3.7,0.5,238.0,520.0,137.0,335.0,101.0,185.0,63.0,74.0,37.0,253.0,290.0,45.0,33.0,37.0,53.0,138.0,0.06811143908769532,6811143,-609769
2017.0,Deron Williams,32.0,190.0,90.0,West Virginia,Parkersburg,University of Illinois at Urbana-Champaign,CLE,PG,5500000.0,24.0,4.0,179.0,486.0,11.4,0.17,0.4,0.2,0.6,-0.3,68.0,147.0,22.0,53.0,46.0,94.0,21.0,25.0,1.0,44.0,45.0,86.0,6.0,6.0,40.0,42.0,0.018733967862417697,1873396,-3626604
2017.0,Kevin Love,28.0,208.0,113.0,California,Santa Monica,"University of California, Los Angeles",CLE,PF,22642350.0,60.0,60.0,1142.0,1885.0,21.1,0.34,4.0,2.4,6.4,1.3,370.0,867.0,145.0,389.0,225.0,478.0,257.0,295.0,148.0,518.0,666.0,116.0,53.0,22.0,122.0,125.0,0.12552315714076195,12552315,-10090035
2017.0,Larry Sanders,28.0,211.0,106.0,Florida,Fort Pierce,Virginia Commonwealth University,CLE,C,1865547.0,5.0,0.0,4.0,13.0,6.5,0.5,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,5.0,0.003005719501874502,300571,-1564976
2017.0,Kyrie Irving,24.0,190.0,87.0,Australia,Melbourne,Duke University,CLE,PG,18868625.0,72.0,72.0,1816.0,2525.0,23.0,0.231,7.4,1.5,8.9,2.9,671.0,1420.0,177.0,441.0,494.0,979.0,297.0,328.0,52.0,178.0,230.0,418.0,83.0,25.0,180.0,157.0,0.161084247638967,16108424,-2760201
