Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Dirk Nowitzki,38.0,213.0,111.0,Germany,Wurzburg,Unknown,DAL,PF,5000000.0,54.0,54.0,769.0,1424.0,17.0,0.165,0.6,1.9,2.5,0.2,296.0,678.0,79.0,209.0,217.0,469.0,98.0,112.0,23.0,330.0,353.0,82.0,30.0,38.0,51.0,113.0,0.08635496765737267,8635496,3635496
2017.0,Devin Harris,33.0,190.0,87.0,Wisconsin,Milwaukee,University of Wisconsin,DAL,PG,4402546.0,65.0,0.0,437.0,1087.0,13.8,0.378,1.1,1.1,2.2,0.4,136.0,341.0,58.0,177.0,78.0,164.0,107.0,129.0,11.0,116.0,127.0,136.0,43.0,7.0,57.0,101.0,0.056814250376123504,5681425,1278879
2017.0,Andrew Bogut,32.0,213.0,117.0,Australia,Melbourne,University of Utah,DAL,C,2328652.0,26.0,21.0,79.0,582.0,9.4,0.136,-0.3,1.0,0.7,0.3,38.0,81.0,0.0,1.0,38.0,80.0,3.0,11.0,56.0,162.0,218.0,49.0,13.0,25.0,43.0,84.0,0.026919093658182465,2691909,363257
2017.0,Deron Williams,32.0,190.0,90.0,West Virginia,Parkersburg,University of Illinois at Urbana-Champaign,DAL,PG,5500000.0,40.0,40.0,522.0,1171.0,15.0,0.185,1.1,0.7,1.8,0.2,195.0,453.0,63.0,181.0,132.0,272.0,69.0,84.0,13.0,89.0,102.0,274.0,25.0,2.0,98.0,96.0,0.0633809732653577,6338097,838097
2017.0,J.J. Barea,32.0,203.0,94.0,Unknown,Unknown,Unknown,DAL,PG,3903900.0,35.0,6.0,381.0,771.0,17.2,0.149,0.8,0.5,1.3,0.3,142.0,343.0,53.0,148.0,89.0,195.0,44.0,51.0,9.0,75.0,84.0,193.0,14.0,1.0,63.0,30.0,0.04257004964289964,4257004,353104
2017.0,Wesley Matthews,30.0,185.0,77.0,Florida,Sarasota,University of Wisconsin,DAL,SG,17884176.0,73.0,73.0,986.0,2495.0,11.9,0.211,1.0,2.1,3.1,1.3,333.0,847.0,174.0,479.0,159.0,368.0,146.0,179.0,18.0,241.0,259.0,210.0,77.0,16.0,102.0,161.0,0.11605473231023415,11605473,-6278703
2017.0,DeAndre Liggins,28.0,198.0,94.0,Illinois,Chicago,University of Kentucky,DAL,SG,1577230.0,1.0,0.0,8.0,25.0,17.6,0.5,0.1,0.0,0.1,0.0,3.0,6.0,0.0,1.0,3.0,5.0,2.0,3.0,3.0,4.0,7.0,0.0,2.0,0.0,0.0,3.0,0.0023026391136705777,230263,-1346967
2017.0,Quincy Acy,26.0,201.0,108.0,Texas,Tyler,Baylor University,DAL,PF,1709538.0,6.0,0.0,13.0,48.0,-1.4,0.17600000000000002,-0.2,0.0,-0.1,-0.2,5.0,17.0,1.0,7.0,4.0,10.0,2.0,3.0,2.0,6.0,8.0,0.0,0.0,0.0,2.0,9.0,0.0004912796846710391,49127,-1660411
2017.0,Harrison Barnes,24.0,190.0,92.0,Unknown,Unknown,Northeastern University,DAL,PF,23112004.0,79.0,79.0,1518.0,2803.0,16.3,0.22,2.5,2.1,4.6,0.1,599.0,1280.0,78.0,222.0,521.0,1058.0,242.0,281.0,94.0,303.0,397.0,117.0,66.0,15.0,102.0,128.0,0.15469860474047453,15469860,-7642144
2017.0,Seth Curry,26.0,188.0,83.0,North Carolina,Charlotte,Duke University,DAL,PG,3028410.0,70.0,42.0,898.0,2029.0,15.5,0.142,2.9,1.7,4.6,1.7,338.0,703.0,137.0,322.0,201.0,381.0,85.0,100.0,25.0,153.0,178.0,188.0,79.0,7.0,92.0,126.0,0.1034115935025209,10341159,7312749
2017.0,Nerlens Noel,22.0,211.0,103.0,Massachusetts,Malden,University of Kentucky,DAL,C,4187599.0,22.0,12.0,188.0,483.0,19.9,0.358,0.9,0.9,1.8,0.6,77.0,134.0,0.0,0.0,77.0,134.0,34.0,48.0,47.0,103.0,150.0,20.0,22.0,25.0,22.0,55.0,0.03361140014753687,3361140,-826459
2017.0,Dwight Powell,25.0,211.0,108.0,Canada,Toronto,Stanford University,DAL,C,9003125.0,77.0,3.0,516.0,1333.0,17.6,0.374,2.7,1.9,4.6,1.2,194.0,377.0,21.0,74.0,173.0,303.0,107.0,141.0,93.0,213.0,306.0,49.0,61.0,39.0,34.0,135.0,0.07980635699815694,7980635,-1022490
2017.0,Justin Anderson,23.0,198.0,103.0,Virginia,Montross,University of Virginia,DAL,SF,1579440.0,51.0,2.0,329.0,710.0,14.7,0.318,0.1,0.9,1.0,0.0,111.0,277.0,37.0,122.0,74.0,155.0,70.0,88.0,39.0,110.0,149.0,32.0,28.0,16.0,40.0,64.0,0.0404444613474338,4044446,2465006
2017.0,Salah Mejri,30.0,216.0,111.0,Tunisia,Jendouba,Unknown,DAL,C,1471382.0,73.0,11.0,213.0,905.0,14.8,0.445,1.3,1.7,3.0,0.5,88.0,137.0,1.0,3.0,87.0,134.0,36.0,61.0,97.0,211.0,308.0,14.0,32.0,61.0,40.0,152.0,0.05127870490764396,5127870,3656488
2017.0,Nicolas Brussino,23.0,201.0,88.0,Argentina,Santa Fe,Unknown,DAL,SF,1312611.0,54.0,2.0,150.0,521.0,10.7,0.156,0.0,0.6,0.6,0.1,52.0,141.0,29.0,95.0,23.0,46.0,17.0,22.0,26.0,69.0,95.0,47.0,17.0,8.0,26.0,43.0,0.0229344948654504,2293449,980838
2017.0,Quinn Cook,23.0,188.0,83.0,District of Columbia,Washington,Duke University,DAL,PG,100000.0,5.0,0.0,27.0,77.0,6.9,0.08,-0.1,0.0,-0.1,-0.1,11.0,25.0,5.0,14.0,6.0,11.0,0.0,2.0,0.0,3.0,3.0,12.0,1.0,0.0,8.0,6.0,0.002468390854809468,246839,146839
2017.0,Yogi Ferrell,23.0,183.0,81.0,Indiana,Indianapolis,Indiana University,DAL,PG,1312611.0,36.0,29.0,408.0,1046.0,14.1,0.212,1.0,0.9,2.0,0.6,142.0,345.0,60.0,149.0,82.0,196.0,64.0,73.0,16.0,83.0,99.0,155.0,40.0,7.0,56.0,79.0,0.05351786539267821,5351786,4039175
2017.0,Dorian Finney-Smith,23.0,203.0,99.0,Virginia,Portsmouth,University of Florida,DAL,PF,1312611.0,81.0,35.0,350.0,1642.0,7.7,0.183,-0.1,1.5,1.4,0.2,124.0,333.0,56.0,191.0,68.0,142.0,46.0,61.0,55.0,166.0,221.0,67.0,52.0,25.0,45.0,125.0,0.0559306055832378,5593060,4280449
2017.0,A.J. Hammons,24.0,198.0,99.0,Unknown,Unknown,Unknown,DAL,C,1312611.0,22.0,0.0,48.0,163.0,8.4,0.476,-0.2,0.2,0.0,-0.1,17.0,42.0,5.0,10.0,12.0,32.0,9.0,20.0,8.0,28.0,36.0,4.0,1.0,13.0,10.0,21.0,0.007009535951545303,700953,-611658
