Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Jameer Nelson,34.0,183.0,86.0,Pennsylvania,Chester,Saint Joseph's University,DEN,PG,4736050.0,75.0,39.0,687.0,2045.0,11.4,0.104,2.3,0.5,2.8,0.0,268.0,604.0,106.0,273.0,162.0,331.0,45.0,63.0,28.0,164.0,192.0,385.0,53.0,8.0,129.0,197.0,0.061285138971192976,6128513,1392463
2017.0,Wilson Chandler,29.0,203.0,102.0,Michigan,Benton Harbor,DePaul University,DEN,SF,12016854.0,71.0,33.0,1117.0,2197.0,14.9,0.207,2.4,1.1,3.6,0.7,433.0,939.0,110.0,326.0,323.0,613.0,141.0,194.0,103.0,356.0,459.0,141.0,52.0,30.0,114.0,172.0,0.10123844634162416,10123844,-1893010
2017.0,Darrell Arthur,28.0,206.0,106.0,Texas,Dallas,University of Kansas,DEN,PF,7464912.0,41.0,7.0,262.0,639.0,12.8,0.102,0.6,0.4,1.1,0.3,95.0,215.0,53.0,117.0,42.0,98.0,19.0,22.0,25.0,87.0,112.0,42.0,19.0,21.0,36.0,76.0,0.028827337036145626,2882733,-4582179
2017.0,Danilo Gallinari,28.0,208.0,102.0,Italy,Sant'Angelo Lodigiano,Unknown,DEN,SF,20559599.0,63.0,63.0,1145.0,2134.0,17.4,0.516,6.2,0.7,6.9,1.5,335.0,750.0,126.0,324.0,209.0,426.0,349.0,387.0,39.0,287.0,326.0,135.0,40.0,15.0,81.0,93.0,0.1307020672102643,13070206,-7489393
2017.0,Roy Hibbert,30.0,218.0,122.0,New York,Queens,Georgetown University,DEN,C,2941176.0,6.0,0.0,4.0,11.0,16.3,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,0.002345816142808338,234581,-2706595
2017.0,Kenneth Faried,27.0,203.0,103.0,New Jersey,Newark,Morehead State University,DEN,PF,12921348.0,61.0,34.0,587.0,1296.0,20.3,0.454,3.4,1.2,4.6,0.9,228.0,416.0,0.0,6.0,228.0,410.0,131.0,189.0,182.0,279.0,461.0,55.0,43.0,40.0,58.0,124.0,0.08878365354975139,8878365,-4042983
2017.0,Will Barton,26.0,198.0,79.0,Maryland,Baltimore,University of Memphis,DEN,SG,3533333.0,60.0,19.0,820.0,1705.0,15.5,0.285,2.5,0.8,3.3,1.0,295.0,666.0,87.0,235.0,208.0,431.0,143.0,190.0,58.0,200.0,258.0,206.0,48.0,28.0,97.0,110.0,0.08119626916239271,8119626,4586293
2017.0,Mason Plumlee,26.0,211.0,111.0,Indiana,Fort Wayne,Duke University,DEN,C,14041096.0,27.0,10.0,245.0,632.0,16.3,0.42,0.8,0.6,1.4,0.6,99.0,181.0,0.0,1.0,99.0,180.0,47.0,76.0,50.0,123.0,173.0,70.0,19.0,29.0,46.0,77.0,0.04155467226292599,4155467,-9885629
2017.0,Gary Harris,22.0,193.0,95.0,Indiana,Fishers,Michigan State University,DEN,SG,2550055.0,57.0,56.0,851.0,1782.0,16.5,0.21,3.9,0.7,4.6,1.6,320.0,637.0,107.0,255.0,213.0,382.0,104.0,134.0,48.0,130.0,178.0,164.0,71.0,8.0,76.0,92.0,0.08063213857326618,8063213,5513158
2017.0,Jusuf Nurkic,22.0,213.0,127.0,Bosnia and Herzegovina,Tuzla,Unknown,DEN,C,2947305.0,45.0,29.0,358.0,807.0,15.0,0.379,-0.2,0.8,0.6,-0.1,151.0,298.0,0.0,0.0,151.0,298.0,56.0,113.0,89.0,171.0,260.0,60.0,25.0,36.0,81.0,88.0,0.050743342080899125,5074334,2127029
