Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Beno Udrih,34.0,190.0,92.0,Slovenia,Celje,Unknown,DET,PG,25000.0,39.0,0.0,227.0,560.0,16.1,0.173,0.8,0.5,1.3,-0.1,92.0,197.0,11.0,32.0,81.0,165.0,32.0,34.0,6.0,51.0,57.0,131.0,13.0,0.0,37.0,29.0,0.025872703822123796,2587270,2562270
2017.0,Ish Smith,28.0,183.0,79.0,North Carolina,Charlotte,Wake Forest University,DET,PG,6000000.0,81.0,32.0,758.0,1955.0,14.7,0.136,0.9,2.2,3.1,0.6,329.0,749.0,28.0,105.0,301.0,644.0,72.0,102.0,21.0,214.0,235.0,418.0,61.0,33.0,112.0,127.0,0.08663777267403035,8663777,2663777
2017.0,Tobias Harris,24.0,190.0,86.0,Louisiana,Monroe,University of New Orleans,DET,PF,16000000.0,82.0,48.0,1321.0,2567.0,16.9,0.213,4.0,2.8,6.9,2.1,511.0,1063.0,109.0,314.0,402.0,749.0,190.0,226.0,63.0,353.0,416.0,142.0,60.0,39.0,95.0,133.0,0.13862258903858424,13862258,-2137742
2017.0,Reggie Jackson,26.0,190.0,94.0,Italy,Pordenone,Boston College,DET,PG,16000000.0,52.0,50.0,752.0,1424.0,14.9,0.201,0.8,1.2,1.9,0.2,284.0,677.0,66.0,184.0,218.0,493.0,118.0,136.0,21.0,92.0,113.0,270.0,35.0,5.0,114.0,129.0,0.0729292332423116,7292923,-8707077
2017.0,Jon Leuer,27.0,208.0,103.0,Minnesota,Long Lake,University of Wisconsin,DET,PF,10497319.0,75.0,34.0,767.0,1944.0,14.2,0.175,2.5,2.0,4.5,1.1,310.0,646.0,49.0,167.0,261.0,479.0,98.0,113.0,102.0,300.0,402.0,111.0,31.0,26.0,66.0,145.0,0.09307519877947695,9307519,-1189800
2017.0,Marcus Morris,27.0,188.0,88.0,Unknown,Unknown,Northwestern University,DET,SF,5000000.0,79.0,79.0,1105.0,2565.0,12.4,0.184,1.4,2.4,3.9,1.0,421.0,1007.0,118.0,357.0,303.0,650.0,145.0,185.0,77.0,289.0,366.0,160.0,52.0,25.0,87.0,168.0,0.11474055018615928,11474055,6474055
2017.0,Aron Baynes,30.0,208.0,117.0,New Zealand,Gisborne,Washington State University,DET,C,4328000.0,75.0,2.0,365.0,1163.0,13.1,0.337,1.4,1.5,3.0,0.1,143.0,279.0,0.0,0.0,143.0,279.0,79.0,94.0,111.0,222.0,333.0,32.0,17.0,39.0,50.0,166.0,0.06048967834602106,6048967,1720967
2017.0,Andre Drummond,23.0,211.0,126.0,New York,Mount Vernon,University of Connecticut,DET,C,23775506.0,81.0,81.0,1105.0,2409.0,20.9,0.39,1.4,5.3,6.7,1.7,483.0,911.0,2.0,7.0,481.0,904.0,137.0,355.0,345.0,771.0,1116.0,89.0,124.0,89.0,152.0,237.0,0.17510268050624192,17510268,-6265238
2017.0,Reggie Bullock,25.0,201.0,92.0,Maryland,Baltimore,University of North Carolina,DET,SF,2500000.0,31.0,5.0,141.0,467.0,11.7,0.055,0.4,0.5,1.0,0.2,54.0,128.0,28.0,73.0,26.0,55.0,5.0,7.0,13.0,51.0,64.0,29.0,18.0,3.0,10.0,22.0,0.019436586374419428,1943658,-556342
2017.0,Kentavious Caldwell-Pope,23.0,196.0,92.0,Georgia,Thomaston,University of Georgia,DET,SG,17745894.0,76.0,75.0,1047.0,2529.0,12.8,0.199,2.0,2.5,4.5,1.9,370.0,928.0,153.0,437.0,217.0,491.0,154.0,185.0,55.0,193.0,248.0,193.0,89.0,12.0,86.0,118.0,0.11670689452231875,11670689,-6075205
