Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Nene Hilario,34.0,211.0,113.0,Brazil,Sao Carlos,Unknown,HOU,C,3477600.0,67.0,8.0,609.0,1198.0,18.9,0.496,2.5,1.6,4.1,0.8,245.0,397.0,3.0,9.0,242.0,388.0,116.0,197.0,95.0,186.0,281.0,65.0,56.0,40.0,73.0,163.0,0.06542719251809935,6542719,3065119
2017.0,Trevor Ariza,31.0,203.0,97.0,Florida,Miami,"University of California, Los Angeles",HOU,SF,7420912.0,80.0,80.0,936.0,2773.0,12.3,0.158,2.8,3.2,6.0,2.6,326.0,798.0,191.0,555.0,135.0,243.0,93.0,126.0,54.0,405.0,459.0,175.0,147.0,20.0,74.0,133.0,0.10951116755817789,10951116,3530204
2017.0,Lou Williams,30.0,206.0,90.0,Florida,Ocala,Stetson University,HOU,SG,7000000.0,23.0,0.0,343.0,591.0,15.4,0.428,0.8,0.4,1.2,-0.1,102.0,264.0,41.0,129.0,61.0,135.0,98.0,113.0,12.0,58.0,70.0,56.0,15.0,9.0,40.0,25.0,0.030691383402417977,3069138,-3930862
2017.0,Corey Brewer,30.0,206.0,84.0,Tennessee,Portland,University of Florida,HOU,SF,7579366.0,58.0,8.0,242.0,923.0,7.5,0.194,0.0,0.8,0.9,-0.3,94.0,227.0,22.0,94.0,72.0,133.0,32.0,44.0,21.0,93.0,114.0,61.0,37.0,11.0,36.0,104.0,0.028708700526253707,2870870,-4708496
2017.0,Ryan Anderson,28.0,208.0,108.0,California,Sacramento,University of California,HOU,PF,19578455.0,72.0,72.0,979.0,2116.0,13.5,0.194,4.0,1.1,5.2,0.6,323.0,773.0,204.0,506.0,119.0,267.0,129.0,150.0,112.0,218.0,330.0,68.0,32.0,14.0,55.0,142.0,0.08937070632094397,8937070,-10641385
2017.0,Bobby Brown,32.0,193.0,92.0,Ohio,Versailles,Miami University,HOU,PG,1524305.0,25.0,0.0,62.0,123.0,10.8,0.033,0.1,0.0,0.1,-0.2,23.0,60.0,14.0,35.0,9.0,25.0,2.0,2.0,0.0,6.0,6.0,14.0,1.0,0.0,5.0,5.0,0.005865854377864336,586585,-937720
2017.0,Eric Gordon,28.0,193.0,97.0,Indiana,Indianapolis,Indiana University,HOU,SG,12943020.0,75.0,15.0,1217.0,2323.0,13.1,0.172,2.5,1.4,3.8,0.4,412.0,1016.0,246.0,661.0,166.0,355.0,147.0,175.0,29.0,172.0,201.0,188.0,48.0,40.0,121.0,150.0,0.095935715542441,9593571,-3349449
2017.0,James Harden,27.0,196.0,99.0,California,Los Angeles,Arizona State University,HOU,PG,28299399.0,81.0,81.0,2356.0,2947.0,27.3,0.575,11.5,3.6,15.0,9.0,674.0,1533.0,262.0,756.0,412.0,777.0,746.0,881.0,95.0,564.0,659.0,906.0,120.0,37.0,464.0,215.0,0.2559569914315326,25595699,-2703700
2017.0,Patrick Beverley,28.0,185.0,83.0,Illinois,Chicago,University of Arkansas,HOU,SG,5513514.0,67.0,67.0,639.0,2058.0,13.0,0.175,2.9,2.4,5.3,2.2,228.0,543.0,110.0,288.0,118.0,255.0,73.0,95.0,95.0,299.0,394.0,281.0,99.0,25.0,100.0,222.0,0.09172029176088438,9172029,3658515
2017.0,Clint Capela,22.0,206.0,98.0,Unknown,Unknown,Unknown,HOU,C,2334520.0,65.0,59.0,818.0,1551.0,21.4,0.314,3.9,2.1,6.0,1.2,362.0,563.0,0.0,0.0,362.0,563.0,94.0,177.0,178.0,348.0,526.0,64.0,34.0,80.0,87.0,179.0,0.08925792148227274,8925792,6591272
2017.0,Tyler Ennis,22.0,190.0,87.0,Canada,Brampton,Syracuse University,HOU,PG,1524305.0,31.0,0.0,58.0,196.0,4.0,0.047,-0.4,0.1,-0.2,-0.4,25.0,64.0,6.0,16.0,19.0,48.0,2.0,3.0,4.0,15.0,19.0,34.0,6.0,0.0,24.0,29.0,0.0062871975380696735,628719,-895586
2017.0,K.J. McDaniels,23.0,198.0,90.0,Unknown,Unknown,Unknown,HOU,SF,100000.0,29.0,0.0,80.0,212.0,10.2,0.147,0.0,0.2,0.3,-0.1,31.0,68.0,9.0,27.0,22.0,41.0,9.0,10.0,6.0,24.0,30.0,4.0,7.0,8.0,10.0,24.0,0.009416056962539224,941605,841605
2017.0,Sam Dekker,22.0,206.0,104.0,Wisconsin,Sheboygan,University of Wisconsin,HOU,SF,1794600.0,77.0,2.0,504.0,1419.0,13.0,0.159,1.9,1.2,3.1,0.3,203.0,429.0,60.0,187.0,143.0,242.0,38.0,68.0,94.0,190.0,284.0,76.0,38.0,21.0,41.0,83.0,0.052184028565561036,5218402,3423802
