Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Glenn Robinson,23.0,201.0,102.0,Indiana,Gary,Purdue University,IND,SF,1524305.0,69.0,27.0,419.0,1426.0,11.5,0.225,1.3,1.2,2.5,0.2,158.0,338.0,49.0,125.0,109.0,213.0,54.0,76.0,57.0,188.0,245.0,47.0,41.0,20.0,37.0,63.0,0.052982714751114525,5298271,3773966
2017.0,Al Jefferson,32.0,208.0,131.0,Mississippi,Monticello,Unknown,IND,C,9769821.0,66.0,1.0,535.0,931.0,18.9,0.18,1.2,1.1,2.3,-0.3,235.0,471.0,0.0,1.0,235.0,470.0,65.0,85.0,75.0,203.0,278.0,57.0,19.0,16.0,33.0,125.0,0.050778902668918546,5077890,-4691931
2017.0,Monta Ellis,31.0,190.0,83.0,Mississippi,Jackson,Unknown,IND,SG,2245400.0,74.0,33.0,630.0,1998.0,10.0,0.23,-0.7,1.7,1.1,-0.2,247.0,557.0,43.0,135.0,204.0,422.0,93.0,128.0,19.0,185.0,204.0,236.0,79.0,27.0,135.0,149.0,0.06964851568310239,6964851,4719451
2017.0,C.J. Miles,29.0,185.0,79.0,Unknown,Unknown,Unknown,IND,SF,7936509.0,76.0,29.0,815.0,1776.0,13.7,0.14400000000000002,2.7,1.4,4.0,0.7,281.0,647.0,169.0,409.0,112.0,238.0,84.0,93.0,30.0,199.0,229.0,48.0,46.0,25.0,40.0,151.0,0.08403802163248347,8403802,467293
2017.0,Aaron Brooks,32.0,183.0,73.0,Washington,Seattle,University of Oregon,IND,PG,2116955.0,65.0,0.0,322.0,894.0,9.5,0.133,-0.2,0.5,0.3,-0.6,121.0,300.0,48.0,128.0,73.0,172.0,32.0,40.0,18.0,51.0,69.0,125.0,25.0,9.0,66.0,93.0,0.03158039681243494,3158039,1041084
2017.0,Rodney Stuckey,30.0,196.0,95.0,Washington,Seattle,Eastern Washington University,IND,PG,7000000.0,39.0,0.0,281.0,696.0,9.5,0.439,-0.5,0.4,-0.1,-0.7,91.0,244.0,19.0,60.0,72.0,184.0,80.0,107.0,6.0,78.0,84.0,84.0,16.0,0.0,53.0,44.0,0.025280617897374513,2528061,-4471939
2017.0,Thaddeus Young,28.0,203.0,100.0,Louisiana,New Orleans,Georgia Institute of Technology,IND,PF,14796348.0,74.0,74.0,814.0,2237.0,14.9,0.125,1.9,2.7,4.6,2.0,362.0,687.0,45.0,118.0,317.0,569.0,45.0,86.0,131.0,318.0,449.0,122.0,114.0,30.0,96.0,135.0,0.10576769817995196,10576769,-4219579
2017.0,Jeff Teague,28.0,188.0,84.0,Indiana,Indianapolis,Wake Forest University,IND,PG,19000000.0,82.0,82.0,1254.0,2657.0,19.2,0.457,5.7,2.4,8.1,2.6,402.0,909.0,90.0,252.0,312.0,657.0,360.0,415.0,33.0,298.0,331.0,639.0,100.0,32.0,216.0,165.0,0.1646756522075904,16467565,-2532435
2017.0,Paul George,26.0,206.0,99.0,California,Palmdale,"California State University, Fresno",IND,SF,19508958.0,75.0,75.0,1775.0,2689.0,20.2,0.277,4.0,3.1,7.1,3.2,622.0,1349.0,195.0,496.0,427.0,853.0,336.0,374.0,58.0,434.0,492.0,251.0,117.0,27.0,218.0,206.0,0.18286671430289317,18286671,-1222287
2017.0,Kevin Seraphin,27.0,206.0,129.0,French Guiana,Cayenne,Unknown,IND,PF,1840500.0,49.0,3.0,232.0,559.0,14.4,0.111,0.4,0.6,1.0,-0.2,109.0,198.0,0.0,2.0,109.0,196.0,14.0,22.0,41.0,101.0,142.0,23.0,7.0,20.0,29.0,66.0,0.025073791465533207,2507379,666879
