Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Paul Pierce,39.0,201.0,106.0,California,Oakland,University of Kansas,LAC,SF,1096080.0,25.0,7.0,81.0,277.0,5.7,0.18600000000000005,-0.2,0.3,0.1,-0.2,28.0,70.0,15.0,43.0,13.0,27.0,10.0,13.0,1.0,47.0,48.0,10.0,4.0,5.0,16.0,40.0,0.010756370211325278,1075637,-20443
2017.0,Jamal Crawford,36.0,196.0,90.0,Washington,Seattle,University of Michigan,LAC,SG,10942762.0,82.0,1.0,1008.0,2157.0,12.0,0.234,0.5,1.4,1.9,-0.6,359.0,869.0,116.0,322.0,243.0,547.0,174.0,203.0,17.0,112.0,129.0,213.0,59.0,14.0,134.0,115.0,0.07824344272383262,7824344,-3118418
2017.0,Alan Anderson,34.0,198.0,99.0,Minnesota,Minneapolis,Michigan State University,LAC,SF,1315448.0,30.0,0.0,86.0,308.0,5.0,0.2,0.0,0.1,0.1,-0.2,30.0,80.0,14.0,44.0,16.0,36.0,12.0,16.0,3.0,21.0,24.0,11.0,3.0,0.0,7.0,35.0,0.009232435871976183,923243,-392205
2017.0,Brandon Bass,31.0,203.0,113.0,Louisiana,Baton Rouge,Louisiana State University,LAC,PF,1551659.0,52.0,0.0,292.0,577.0,19.7,0.473,1.6,0.6,2.2,0.2,107.0,186.0,1.0,3.0,106.0,183.0,77.0,88.0,43.0,86.0,129.0,21.0,14.0,11.0,29.0,45.0,0.03636540372535647,3636540,2084881
2017.0,Raymond Felton,32.0,185.0,92.0,South Carolina,Marion,University of North Carolina,LAC,PG,2328652.0,80.0,11.0,538.0,1700.0,10.9,0.125,0.2,1.8,2.0,0.5,221.0,514.0,46.0,144.0,175.0,370.0,50.0,64.0,33.0,184.0,217.0,191.0,67.0,22.0,83.0,125.0,0.06011876326298932,6011876,3683224
2017.0,Chris Paul,31.0,183.0,79.0,North Carolina,Winston-Salem,Wake Forest University,LAC,PG,24599495.0,61.0,61.0,1104.0,1921.0,26.2,0.331,8.0,2.6,10.6,5.2,374.0,785.0,124.0,302.0,250.0,483.0,232.0,260.0,41.0,263.0,304.0,563.0,118.0,8.0,147.0,146.0,0.14348150553653571,14348150,-10251345
2017.0,J.J. Redick,32.0,188.0,86.0,Unknown,Unknown,Unknown,LAC,SG,23000000.0,78.0,78.0,1173.0,2198.0,14.8,0.227,3.3,1.5,4.8,1.1,396.0,890.0,201.0,468.0,195.0,422.0,180.0,202.0,11.0,160.0,171.0,110.0,55.0,13.0,98.0,125.0,0.09927522606706334,9927522,-13072478
2017.0,DeAndre Jordan,28.0,211.0,120.0,Texas,Houston,Texas A&M University,LAC,C,22642350.0,81.0,81.0,1029.0,2570.0,21.8,0.737,7.2,4.6,11.8,3.9,412.0,577.0,0.0,2.0,412.0,575.0,205.0,425.0,297.0,817.0,1114.0,96.0,52.0,135.0,116.0,212.0,0.1656073450862941,16560734,-6081616
2017.0,Luc Mbah,30.0,201.0,99.0,Unknown,Unknown,Unknown,LAC,SF,4320500.0,80.0,76.0,484.0,1787.0,10.3,0.23,1.3,1.8,3.1,1.2,191.0,378.0,43.0,110.0,148.0,268.0,59.0,87.0,47.0,127.0,174.0,39.0,81.0,35.0,47.0,122.0,0.06564939715157171,6564939,2244439
2017.0,Marreese Speights,29.0,208.0,115.0,Florida,St. Petersburg,University of Florida,LAC,C,2116955.0,82.0,2.0,711.0,1286.0,17.6,0.25,2.5,1.7,4.2,0.9,244.0,548.0,103.0,277.0,141.0,271.0,120.0,137.0,88.0,285.0,373.0,66.0,23.0,41.0,69.0,229.0,0.0757923899441951,7579238,5462283
2017.0,Blake Griffin,27.0,208.0,113.0,Oklahoma,Oklahoma City,University of Oklahoma,LAC,PF,29512900.0,61.0,61.0,1316.0,2076.0,22.7,0.434,5.4,2.4,7.7,3.4,479.0,971.0,38.0,113.0,441.0,858.0,320.0,421.0,111.0,385.0,496.0,300.0,58.0,23.0,142.0,157.0,0.14307504406154728,14307504,-15205396
2017.0,Wesley Johnson,29.0,201.0,97.0,Texas,Corsicana,Syracuse University,LAC,SF,5881260.0,68.0,3.0,186.0,810.0,8.4,0.085,-0.3,1.2,0.9,0.0,73.0,200.0,29.0,118.0,44.0,82.0,11.0,17.0,26.0,155.0,181.0,23.0,29.0,30.0,18.0,83.0,0.027319933284774587,2731993,-3149267
2017.0,Austin Rivers,24.0,193.0,90.0,California,Santa Monica,Duke University,LAC,SG,11825000.0,74.0,29.0,889.0,2054.0,11.4,0.261,1.2,1.3,2.5,0.2,323.0,731.0,111.0,299.0,212.0,432.0,132.0,191.0,20.0,141.0,161.0,204.0,48.0,10.0,115.0,187.0,0.07887451074185214,7887451,-3937549
2017.0,Brice Johnson,22.0,208.0,95.0,Utah,Salt Lake City,University of Utah,LAC,PF,1331160.0,3.0,0.0,4.0,9.0,17.2,0.0,-0.1,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.003521521067437982,352152,-979008
