Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Larry Nance,24.0,208.0,92.0,South Carolina,Anderson,Clemson University,LAL,PF,1471382.0,63.0,7.0,449.0,1442.0,15.8,0.222,2.1,1.5,3.5,1.5,190.0,361.0,10.0,36.0,180.0,325.0,59.0,80.0,120.0,249.0,369.0,96.0,82.0,40.0,56.0,149.0,0.04652232759330285,4652232,3180850
2017.0,Metta World,37.0,190.0,81.0,Unknown,Unknown,Unknown,LAL,SF,1551659.0,25.0,2.0,57.0,160.0,6.2,0.235,-0.3,0.1,-0.2,-0.2,19.0,68.0,9.0,38.0,10.0,30.0,10.0,16.0,5.0,15.0,20.0,11.0,9.0,2.0,7.0,18.0,0.010460859374172635,1046085,-505574
2017.0,Luol Deng,31.0,206.0,99.0,South Sudan,Wow,Duke University,LAL,SF,17190000.0,56.0,49.0,425.0,1486.0,10.1,0.149,0.1,0.8,0.9,-0.2,164.0,424.0,51.0,165.0,113.0,259.0,46.0,63.0,63.0,232.0,295.0,74.0,48.0,20.0,43.0,61.0,0.06955424817192825,6955424,-10234576
2017.0,Jose Calderon,35.0,190.0,90.0,Spain,Villanueva de la Serena,Unknown,LAL,PG,2328652.0,24.0,11.0,80.0,292.0,9.1,0.052000000000000005,-0.1,0.1,0.0,-0.2,32.0,77.0,12.0,34.0,20.0,43.0,4.0,4.0,8.0,34.0,42.0,51.0,7.0,1.0,26.0,22.0,0.016904345496388633,1690434,-638218
2017.0,Lou Williams,30.0,206.0,90.0,Florida,Ocala,Stetson University,LAL,SG,7000000.0,58.0,1.0,1078.0,1403.0,23.9,0.469,4.3,0.6,4.9,1.5,326.0,734.0,122.0,317.0,204.0,417.0,304.0,344.0,14.0,118.0,132.0,183.0,65.0,10.0,120.0,67.0,0.07319404349590043,7319404,319404
2017.0,Corey Brewer,30.0,206.0,84.0,Tennessee,Portland,University of Florida,LAL,SF,7579366.0,24.0,3.0,129.0,358.0,13.3,0.198,0.0,0.3,0.3,0.0,53.0,121.0,5.0,24.0,48.0,97.0,18.0,24.0,11.0,41.0,52.0,36.0,24.0,8.0,19.0,29.0,0.016276349031172317,1627634,-5951732
2017.0,Nick Young,31.0,201.0,95.0,California,Los Angeles,University of Southern California,LAL,SG,5192000.0,60.0,60.0,791.0,1556.0,14.1,0.142,3.0,0.2,3.2,0.5,272.0,633.0,170.0,421.0,102.0,212.0,77.0,90.0,25.0,112.0,137.0,58.0,37.0,14.0,36.0,137.0,0.07971440211207378,7971440,2779440
2017.0,Timofey Mozgov,30.0,216.0,124.0,Russia,St. Petersburg,Unknown,LAL,C,15280000.0,54.0,52.0,401.0,1104.0,12.3,0.238,0.7,0.4,1.1,-0.4,169.0,328.0,0.0,1.0,169.0,327.0,63.0,78.0,104.0,160.0,264.0,43.0,16.0,31.0,72.0,133.0,0.06336576297523733,6336576,-8943424
2017.0,Thomas Robinson,25.0,208.0,107.0,District of Columbia,Washington,University of Kansas,LAL,PF,1757429.0,48.0,1.0,241.0,560.0,17.3,0.337,0.3,0.6,0.9,0.0,105.0,196.0,0.0,1.0,105.0,195.0,31.0,66.0,84.0,139.0,223.0,31.0,26.0,9.0,46.0,76.0,0.03169951374483697,3169951,1412522
2017.0,Tarik Black,25.0,206.0,113.0,Tennessee,Memphis,University of Kansas,LAL,C,3290000.0,67.0,16.0,383.0,1091.0,15.0,0.371,1.5,0.9,2.4,0.1,150.0,294.0,1.0,2.0,149.0,292.0,82.0,109.0,143.0,199.0,342.0,39.0,30.0,44.0,58.0,173.0,0.054779471938990236,5477947,2187947
2017.0,Jordan Clarkson,24.0,196.0,87.0,Florida,Tampa,University of Missouri,LAL,SG,11562500.0,82.0,19.0,1205.0,2397.0,13.1,0.157,0.5,0.7,1.2,-0.4,477.0,1071.0,117.0,356.0,360.0,715.0,134.0,168.0,49.0,197.0,246.0,213.0,88.0,8.0,164.0,150.0,0.12717386975133613,12717386,1154886
2017.0,Tyler Ennis,22.0,190.0,87.0,Canada,Brampton,Syracuse University,LAL,PG,1524305.0,22.0,2.0,170.0,392.0,14.6,0.153,0.5,0.2,0.7,0.0,65.0,144.0,21.0,54.0,44.0,90.0,19.0,22.0,6.0,21.0,27.0,52.0,20.0,2.0,21.0,29.0,0.017678969685748187,1767896,243591
2017.0,Julius Randle,22.0,206.0,113.0,Texas,Dallas,University of Kentucky,LAL,PF,4149242.0,74.0,73.0,975.0,2132.0,16.3,0.365,2.0,1.5,3.5,1.1,377.0,773.0,17.0,63.0,360.0,710.0,204.0,282.0,151.0,485.0,636.0,264.0,49.0,37.0,173.0,248.0,0.11429878568359139,11429878,7280636
2017.0,Marcelo Huertas,33.0,190.0,90.0,Brazil,Sao Paulo,Unknown,LAL,PG,1533800.0,23.0,1.0,63.0,237.0,9.1,0.25,-0.2,0.1,-0.1,-0.3,25.0,68.0,4.0,19.0,21.0,49.0,9.0,17.0,2.0,22.0,24.0,52.0,10.0,2.0,19.0,16.0,0.012800903651599605,1280090,-253710
2017.0,D'Angelo Russell,20.0,188.0,86.0,Unknown,Unknown,Unknown,LAL,PG,5562360.0,63.0,60.0,984.0,1811.0,15.3,0.217,0.3,1.0,1.3,0.7,351.0,867.0,135.0,384.0,216.0,483.0,147.0,188.0,31.0,191.0,222.0,303.0,87.0,16.0,176.0,130.0,0.10880288373145802,10880288,5317928
2017.0,Brandon Ingram,19.0,206.0,86.0,North Carolina,Kinston,Duke University,LAL,SF,5519400.0,79.0,40.0,740.0,2279.0,8.5,0.312,-1.0,0.7,-0.3,-1.1,276.0,686.0,55.0,187.0,221.0,499.0,133.0,214.0,60.0,257.0,317.0,166.0,50.0,36.0,116.0,158.0,0.11105493948369867,11105493,5586093
2017.0,David Nwaba,24.0,193.0,94.0,California,Los Angeles,"California Polytechnic State University, San Luis Obispo",LAL,SG,1312611.0,20.0,2.0,120.0,397.0,12.1,0.481,0.6,0.2,0.7,0.0,47.0,81.0,1.0,5.0,46.0,76.0,25.0,39.0,16.0,46.0,62.0,14.0,13.0,7.0,11.0,36.0,0.011208310584159022,1120831,-191780
2017.0,Ivica Zubac,19.0,216.0,120.0,Bosnia and Herzegovina,Mostar,Unknown,LAL,C,1312611.0,38.0,11.0,284.0,609.0,17.0,0.206,0.6,0.5,1.1,-0.1,126.0,238.0,0.0,3.0,126.0,235.0,32.0,49.0,41.0,118.0,159.0,30.0,14.0,33.0,30.0,66.0,0.0345100134944058,3451001,2138390
