Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Vince Carter,40.0,198.0,99.0,Florida,Daytona Beach,University of North Carolina,MEM,SF,8000000.0,73.0,15.0,586.0,1799.0,11.7,0.235,1.9,2.1,4.0,1.4,193.0,490.0,112.0,296.0,81.0,194.0,88.0,115.0,36.0,191.0,227.0,133.0,60.0,36.0,50.0,163.0,0.07838833745028223,7838833,-161167
2017.0,Zach Randolph,35.0,206.0,117.0,Indiana,Marion,Michigan State University,MEM,PF,12307692.0,73.0,5.0,1028.0,1786.0,18.5,0.2,0.8,2.4,3.2,0.0,433.0,964.0,21.0,94.0,412.0,870.0,141.0,193.0,182.0,416.0,598.0,122.0,38.0,10.0,99.0,136.0,0.09255565280869359,9255565,-3052127
2017.0,Tony Allen,35.0,193.0,96.0,Illinois,Chicago,Oklahoma State University,MEM,SG,2116955.0,71.0,66.0,643.0,1914.0,13.3,0.218,0.2,2.9,3.1,1.3,274.0,595.0,15.0,54.0,259.0,541.0,80.0,130.0,166.0,225.0,391.0,98.0,115.0,29.0,100.0,178.0,0.08439592421993466,8439592,6322637
2017.0,Mike Conley,29.0,185.0,79.0,Arkansas,Fayetteville,Ohio State University,MEM,PG,28530608.0,69.0,68.0,1415.0,2292.0,23.2,0.365,7.5,2.5,10.0,4.5,464.0,1009.0,171.0,419.0,293.0,590.0,316.0,368.0,31.0,211.0,242.0,433.0,92.0,19.0,156.0,126.0,0.17918822805375903,17918822,-10611786
2017.0,Brandan Wright,29.0,211.0,102.0,California,Hollywood,"University of California, Los Angeles",MEM,PF,5179760.0,28.0,5.0,189.0,447.0,18.5,0.259,1.1,0.5,1.6,0.4,83.0,135.0,0.0,1.0,83.0,134.0,23.0,35.0,31.0,47.0,78.0,15.0,11.0,20.0,10.0,42.0,0.026421040750488928,2642104,-2537656
2017.0,Marc Gasol,32.0,216.0,115.0,Spain,Barcelona,Unknown,MEM,C,22642350.0,74.0,74.0,1446.0,2531.0,20.2,0.28600000000000003,4.2,3.5,7.7,4.0,532.0,1160.0,104.0,268.0,428.0,892.0,278.0,332.0,60.0,402.0,462.0,338.0,67.0,99.0,166.0,171.0,0.1747583118916574,17475831,-5166519
2017.0,Toney Douglas,30.0,188.0,88.0,Georgia,Jonesboro,Florida State University,MEM,PG,633000.0,24.0,0.0,117.0,394.0,10.6,0.248,0.0,0.5,0.5,0.1,43.0,117.0,7.0,42.0,36.0,75.0,24.0,29.0,13.0,48.0,61.0,56.0,18.0,5.0,21.0,50.0,0.01715600386119352,1715600,1082600
2017.0,Chandler Parsons,28.0,208.0,104.0,Florida,Casselberry,University of Florida,MEM,SF,23112004.0,34.0,34.0,210.0,675.0,7.6,0.194,-0.5,0.7,0.2,-0.3,75.0,222.0,25.0,93.0,50.0,129.0,35.0,43.0,6.0,78.0,84.0,55.0,20.0,5.0,24.0,52.0,0.023970142916404882,2397014,-20714990
2017.0,Troy Daniels,25.0,193.0,92.0,Virginia,Roanoke,Virginia Commonwealth University,MEM,SG,3408520.0,67.0,3.0,551.0,1183.0,10.4,0.109,0.5,0.8,1.3,-0.3,185.0,495.0,138.0,355.0,47.0,140.0,43.0,54.0,21.0,79.0,100.0,46.0,21.0,4.0,45.0,90.0,0.04653565521204898,4653565,1245045
2017.0,James Ennis,26.0,201.0,95.0,California,Ventura,"California State University, Long Beach",MEM,SF,3028410.0,64.0,28.0,429.0,1501.0,10.6,0.343,1.4,1.7,3.2,0.8,146.0,321.0,51.0,137.0,95.0,184.0,86.0,110.0,69.0,190.0,259.0,64.0,46.0,19.0,59.0,165.0,0.06024724862476741,6024724,2996314
2017.0,JaMychal Green,26.0,206.0,102.0,Alabama,Montgomery,University of Alabama,MEM,PF,8533333.0,77.0,75.0,689.0,2101.0,13.5,0.334,3.1,2.6,5.8,1.4,250.0,500.0,55.0,145.0,195.0,355.0,134.0,167.0,167.0,377.0,544.0,84.0,46.0,34.0,94.0,248.0,0.1005153907802792,10051539,1518206
