Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Udonis Haslem,36.0,203.0,106.0,Florida,Miami,University of Florida,MIA,C,2328652.0,17.0,0.0,31.0,130.0,8.4,0.652,0.0,0.2,0.2,-0.1,11.0,23.0,0.0,3.0,11.0,20.0,9.0,15.0,8.0,28.0,36.0,6.0,5.0,1.0,8.0,22.0,0.009041264442599789,904126,-1424526
2017.0,Josh McRoberts,29.0,208.0,108.0,Indiana,Indianapolis,Duke University,MIA,PF,6021175.0,22.0,14.0,107.0,381.0,9.8,0.076,-0.1,0.4,0.3,0.0,44.0,118.0,13.0,31.0,31.0,87.0,6.0,9.0,23.0,51.0,74.0,50.0,10.0,4.0,23.0,31.0,0.016731198554983402,1673119,-4348056
2017.0,Goran Dragic,30.0,190.0,86.0,Slovenia,Ljubljana,Unknown,MIA,PG,17000450.0,73.0,73.0,1483.0,2459.0,19.7,0.335,5.0,2.6,7.5,2.9,534.0,1124.0,117.0,289.0,417.0,835.0,298.0,377.0,61.0,217.0,278.0,423.0,89.0,13.0,212.0,199.0,0.15426077328212393,15426077,-1574373
2017.0,Wayne Ellington,29.0,193.0,90.0,Pennsylvania,Wynnewood,University of North Carolina,MIA,SG,6270000.0,62.0,13.0,648.0,1500.0,12.6,0.077,2.1,1.2,3.3,0.7,231.0,555.0,149.0,394.0,82.0,161.0,37.0,43.0,18.0,115.0,133.0,70.0,35.0,4.0,30.0,70.0,0.052879605550215154,5287960,-982040
2017.0,James Johnson,29.0,206.0,113.0,Wyoming,Cheyenne,Wake Forest University,MIA,PF,13954000.0,76.0,5.0,975.0,2085.0,17.0,0.28,1.9,3.2,5.1,2.5,368.0,769.0,87.0,256.0,281.0,513.0,152.0,215.0,66.0,309.0,375.0,276.0,76.0,86.0,171.0,197.0,0.11833862327916964,11833862,-2120138
2017.0,Luke Babbitt,27.0,206.0,102.0,Ohio,Cincinnati,"University of Nevada, Reno",MIA,SF,1974159.0,68.0,55.0,324.0,1065.0,8.4,0.053,0.8,1.0,1.8,0.1,113.0,281.0,87.0,210.0,26.0,71.0,11.0,15.0,13.0,129.0,142.0,36.0,21.0,11.0,25.0,118.0,0.036981849346718346,3698184,1724025
2017.0,Hassan Whiteside,27.0,213.0,120.0,North Carolina,Gastonia,Marshall University,MIA,C,23775506.0,77.0,77.0,1309.0,2513.0,22.6,0.368,4.2,5.3,9.5,0.9,542.0,973.0,0.0,0.0,542.0,973.0,225.0,358.0,293.0,795.0,1088.0,57.0,56.0,161.0,154.0,226.0,0.18307019406916272,18307019,-5468487
2017.0,Derrick Williams,25.0,190.0,90.0,West Virginia,Parkersburg,University of Illinois at Urbana-Champaign,MIA,PF,104059.0,25.0,11.0,148.0,377.0,10.1,0.365,-0.1,0.4,0.3,-0.3,54.0,137.0,9.0,45.0,45.0,92.0,31.0,50.0,16.0,57.0,73.0,14.0,9.0,5.0,14.0,33.0,0.01816161511665908,1816161,1712102
2017.0,Dion Waiters,25.0,193.0,102.0,Pennsylvania,Philadelphia,Syracuse University,MIA,SG,11000000.0,46.0,43.0,729.0,1384.0,14.5,0.192,0.2,1.5,1.6,0.4,281.0,663.0,85.0,215.0,196.0,448.0,82.0,127.0,18.0,136.0,154.0,200.0,41.0,20.0,103.0,95.0,0.06751070693328069,6751070,-4248930
2017.0,Tyler Johnson,24.0,193.0,84.0,North Dakota,Grand Forks,"California State University, Fresno",MIA,PG,5881260.0,73.0,0.0,1002.0,2178.0,15.9,0.308,3.1,2.7,5.8,1.9,357.0,824.0,93.0,250.0,264.0,574.0,195.0,254.0,50.0,243.0,293.0,233.0,84.0,44.0,90.0,176.0,0.11053728870085708,11053728,5172468
2017.0,Willie Reed,26.0,206.0,106.0,Louisiana,Hico,Grambling State University,MIA,C,1577230.0,71.0,5.0,374.0,1031.0,17.1,0.309,2.1,1.5,3.6,0.4,162.0,285.0,1.0,4.0,161.0,281.0,49.0,88.0,129.0,203.0,332.0,26.0,18.0,47.0,31.0,137.0,0.062169518819178045,6216951,4639721
2017.0,Josh Richardson,23.0,198.0,90.0,Oklahoma,Edmond,University of Tennessee,MIA,SG,1471382.0,53.0,34.0,539.0,1614.0,10.7,0.15,0.3,1.9,2.2,0.9,202.0,513.0,75.0,227.0,127.0,286.0,60.0,77.0,35.0,133.0,168.0,140.0,60.0,39.0,65.0,132.0,0.06247828088359678,6247828,4776446
2017.0,Justise Winslow,20.0,201.0,102.0,Texas,Houston,Duke University,MIA,SF,2705040.0,18.0,15.0,196.0,625.0,8.2,0.209,-0.9,0.8,-0.1,-0.1,80.0,225.0,7.0,35.0,73.0,190.0,29.0,47.0,23.0,71.0,94.0,66.0,27.0,6.0,33.0,52.0,0.024025109229764634,2402510,-302530
2017.0,Rodney McGruder,25.0,193.0,92.0,Maryland,Landover,Kansas State University,MIA,SG,1312611.0,78.0,65.0,497.0,1966.0,9.1,0.154,1.2,1.7,2.9,0.8,190.0,460.0,73.0,220.0,117.0,240.0,44.0,71.0,95.0,162.0,257.0,124.0,45.0,18.0,56.0,140.0,0.06632412872175465,6632412,5319801
2017.0,Okaro White,24.0,203.0,92.0,Florida,Clearwater,Florida State University,MIA,PF,1312611.0,35.0,0.0,98.0,471.0,7.5,0.253,0.1,0.5,0.6,0.0,33.0,87.0,12.0,34.0,21.0,53.0,20.0,22.0,25.0,57.0,82.0,21.0,10.0,10.0,18.0,52.0,0.017489843069936103,1748984,436373
