Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Jason Terry,39.0,188.0,83.0,Washington,Seattle,University of Arizona,MIL,SG,2328652.0,74.0,0.0,307.0,1365.0,9.0,0.119,1.2,0.9,2.1,0.3,105.0,243.0,73.0,171.0,32.0,72.0,24.0,29.0,15.0,91.0,106.0,98.0,45.0,20.0,36.0,95.0,0.03876990901842213,3876990,1548338
2017.0,Spencer Hawes,28.0,216.0,111.0,Washington,Seattle,University of Washington,MIL,PF,6021175.0,19.0,0.0,83.0,171.0,18.6,0.305,0.4,0.2,0.6,0.1,30.0,59.0,9.0,26.0,21.0,33.0,14.0,18.0,6.0,39.0,45.0,19.0,2.0,4.0,9.0,16.0,0.015885022326804436,1588502,-4432673
2017.0,Michael Beasley,28.0,206.0,106.0,Maryland,Frederick,Kansas State University,MIL,PF,2116955.0,56.0,6.0,528.0,935.0,17.8,0.259,0.8,1.0,1.8,-0.2,216.0,406.0,18.0,43.0,198.0,363.0,78.0,105.0,40.0,153.0,193.0,53.0,28.0,27.0,66.0,92.0,0.05292234517169246,5292234,3175279
2017.0,Greg Monroe,26.0,211.0,120.0,Louisiana,New Orleans,Georgetown University,MIL,C,17884176.0,81.0,0.0,951.0,1823.0,21.1,0.329,3.0,2.6,5.6,1.9,387.0,726.0,0.0,4.0,387.0,722.0,177.0,239.0,167.0,365.0,532.0,187.0,92.0,38.0,140.0,168.0,0.1231480216497796,12314802,-5569374
2017.0,John Henson,26.0,211.0,103.0,North Carolina,Greensboro,University of North Carolina,MIL,C,11422536.0,58.0,39.0,392.0,1123.0,15.3,0.34600000000000003,1.1,1.6,2.7,0.5,159.0,309.0,0.0,1.0,159.0,308.0,74.0,107.0,92.0,203.0,295.0,57.0,29.0,78.0,53.0,151.0,0.06951189031427572,6951189,-4471347
2017.0,Terrence Jones,25.0,206.0,114.0,Oregon,Portland,University of Kentucky,MIL,PF,247285.0,3.0,0.0,0.0,6.0,1.5,0.0,-0.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0005002494648307623,50024,-197261
2017.0,Khris Middleton,25.0,203.0,106.0,South Carolina,Charleston,Texas A&M University,MIL,SF,14100000.0,29.0,23.0,426.0,889.0,15.0,0.276,0.7,0.9,1.6,0.3,150.0,333.0,45.0,104.0,105.0,229.0,81.0,92.0,11.0,112.0,123.0,99.0,41.0,7.0,65.0,79.0,0.045962646828444365,4596264,-9503736
2017.0,Miles Plumlee,28.0,211.0,112.0,Indiana,Fort Wayne,Duke University,MIL,C,12500000.0,32.0,12.0,82.0,310.0,8.0,0.515,-0.2,0.3,0.1,-0.2,30.0,68.0,0.0,0.0,30.0,68.0,22.0,35.0,23.0,30.0,53.0,18.0,11.0,9.0,22.0,48.0,0.019457635293639343,1945763,-10554237
2017.0,Mirza Teletovic,31.0,206.0,109.0,Bosnia and Herzegovina,Mostar,Unknown,MIL,PF,10500000.0,70.0,2.0,451.0,1133.0,8.8,0.108,-0.1,0.7,0.6,-0.8,156.0,418.0,104.0,305.0,52.0,113.0,35.0,45.0,11.0,151.0,162.0,48.0,12.0,13.0,37.0,109.0,0.033387068000992545,3338706,-7161294
2017.0,Giannis Antetokounmpo,22.0,211.0,100.0,Greece,Athens,Unknown,MIL,SF,22471910.0,80.0,80.0,1832.0,2845.0,26.1,0.486,7.9,4.5,12.4,6.9,656.0,1259.0,49.0,180.0,607.0,1079.0,471.0,612.0,142.0,558.0,700.0,434.0,131.0,151.0,234.0,246.0,0.23850321516832895,23850321,1378411
2017.0,Matthew Dellavedova,26.0,193.0,89.0,Australia,Maryborough,Saint Mary's College of California,MIL,PG,9607500.0,76.0,54.0,577.0,1986.0,9.4,0.18,0.3,0.9,1.2,-1.4,208.0,534.0,79.0,215.0,129.0,319.0,82.0,96.0,24.0,123.0,147.0,357.0,53.0,0.0,133.0,153.0,0.05761087991468143,5761087,-3846413
2017.0,Tony Snell,25.0,201.0,90.0,California,Riverside,University of New Mexico,MIL,SG,9821429.0,80.0,80.0,683.0,2336.0,9.7,0.107,2.1,1.3,3.4,0.7,246.0,541.0,144.0,355.0,102.0,186.0,47.0,58.0,22.0,226.0,248.0,96.0,54.0,14.0,55.0,125.0,0.06991579299909882,6991579,-2829850
2017.0,Jabari Parker,21.0,203.0,113.0,Illinois,Chicago,Duke University,MIL,PF,6782392.0,51.0,50.0,1025.0,1728.0,19.1,0.268,2.6,1.5,4.1,1.0,399.0,814.0,65.0,178.0,334.0,636.0,162.0,218.0,79.0,235.0,314.0,142.0,51.0,22.0,92.0,111.0,0.09769666313507648,9769666,2987274
2017.0,Axel Toupane,24.0,201.0,89.0,France,Mulhouse,Unknown,MIL,SF,25000.0,2.0,0.0,0.0,6.0,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0016428344909288715,-164283,-189283
2017.0,Rashad Vaughn,20.0,198.0,91.0,Minnesota,Minneapolis,"University of Nevada, Las Vegas",MIL,SG,1889040.0,41.0,2.0,142.0,458.0,7.8,0.032,-0.5,0.4,0.0,-0.3,57.0,156.0,26.0,81.0,31.0,75.0,2.0,5.0,4.0,45.0,49.0,23.0,19.0,10.0,14.0,32.0,0.013294685132403325,1329468,-559572
2017.0,Malcolm Brogdon,24.0,196.0,97.0,Georgia,Atlanta,University of Virginia,MIL,SG,1312611.0,75.0,28.0,767.0,1982.0,14.9,0.198,2.6,1.5,4.1,0.8,290.0,635.0,78.0,193.0,212.0,442.0,109.0,126.0,47.0,166.0,213.0,317.0,84.0,12.0,113.0,140.0,0.08476597316182964,8476597,7163986
2017.0,Thon Maker,19.0,216.0,97.0,Unknown,South Sudan,Unknown,MIL,C,2684160.0,57.0,34.0,226.0,562.0,14.0,0.271,0.8,0.5,1.3,0.1,83.0,181.0,28.0,74.0,55.0,107.0,32.0,49.0,40.0,74.0,114.0,23.0,10.0,26.0,17.0,84.0,0.035012480312865246,3501248,817088
2017.0,Gary Payton,24.0,193.0,81.0,California,Oakland,Oregon State University,MIL,PG,50000.0,6.0,0.0,20.0,99.0,4.5,0.227,-0.3,0.1,-0.2,-0.1,8.0,22.0,1.0,9.0,7.0,13.0,3.0,5.0,0.0,12.0,12.0,13.0,3.0,4.0,10.0,9.0,0.005298356597763782,529835,479835
