Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Brandon Rush,31.0,198.0,99.0,Missouri,Kansas City,University of Kansas,MIN,SG,119602.0,47.0,33.0,197.0,1030.0,6.6,0.096,0.1,0.3,0.4,0.0,70.0,187.0,44.0,114.0,26.0,73.0,13.0,18.0,16.0,83.0,99.0,45.0,22.0,23.0,28.0,42.0,0.029574446376904782,2957444,2837842
2017.0,Omri Casspi,28.0,206.0,102.0,Israel,Holon,Unknown,MIN,SF,2106470.0,13.0,0.0,45.0,222.0,7.3,0.205,0.0,0.2,0.1,0.0,19.0,39.0,2.0,10.0,17.0,29.0,5.0,8.0,6.0,14.0,20.0,11.0,13.0,2.0,10.0,24.0,0.011820847463504166,1182084,-924386
2017.0,Cole Aldrich,28.0,211.0,113.0,Minnesota,Burnsville,University of Kansas,MIN,C,7300000.0,62.0,0.0,105.0,531.0,12.7,0.256,0.6,0.7,1.3,0.4,45.0,86.0,0.0,0.0,45.0,86.0,15.0,22.0,51.0,107.0,158.0,25.0,25.0,23.0,17.0,85.0,0.03562355426447723,3562355,-3737645
2017.0,Lance Stephenson,26.0,196.0,104.0,New York,Brooklyn,University of Cincinnati,MIN,SG,4180000.0,6.0,0.0,21.0,67.0,6.6,0.095,-0.1,0.0,-0.1,-0.1,10.0,21.0,0.0,2.0,10.0,19.0,1.0,2.0,0.0,10.0,10.0,5.0,0.0,0.0,4.0,2.0,0.0038332419051901132,383324,-3796676
2017.0,Ricky Rubio,26.0,193.0,87.0,Spain,Barcelona,Unknown,MIN,PG,14275000.0,75.0,75.0,836.0,2469.0,16.8,0.438,4.5,1.7,6.1,1.7,261.0,650.0,60.0,196.0,201.0,454.0,254.0,285.0,68.0,237.0,305.0,682.0,128.0,10.0,195.0,202.0,0.14028956231255654,14028956,-246044
2017.0,Gorgui Dieng,27.0,211.0,109.0,Senegal,Kebemer,University of Louisville,MIN,PF,14112360.0,82.0,82.0,816.0,2653.0,14.2,0.253,3.2,2.5,5.7,2.5,332.0,661.0,16.0,43.0,316.0,618.0,136.0,167.0,188.0,459.0,647.0,158.0,88.0,95.0,107.0,254.0,0.14147593827625177,14147593,35233
2017.0,Shabazz Muhammad,24.0,198.0,101.0,California,Los Angeles,"University of California, Los Angeles",MIN,SF,1577230.0,78.0,1.0,772.0,1516.0,14.9,0.318,2.5,0.2,2.7,-0.9,288.0,598.0,49.0,146.0,239.0,452.0,147.0,190.0,84.0,136.0,220.0,35.0,22.0,6.0,56.0,86.0,0.05730019591318849,5730019,4152789
2017.0,Zach LaVine,21.0,196.0,85.0,Washington,Renton,"University of California, Los Angeles",MIN,SG,3202217.0,47.0,47.0,889.0,1749.0,14.6,0.197,2.5,0.4,3.0,0.8,326.0,710.0,120.0,310.0,206.0,400.0,117.0,140.0,18.0,141.0,159.0,139.0,41.0,10.0,85.0,104.0,0.07205480419569488,7205480,4003263
2017.0,Andrew Wiggins,21.0,203.0,90.0,Canada,Toronto,University of Kansas,MIN,SF,7574322.0,82.0,82.0,1933.0,3048.0,16.5,0.345,3.3,0.9,4.2,-0.6,709.0,1570.0,103.0,289.0,606.0,1281.0,412.0,542.0,103.0,226.0,329.0,189.0,82.0,30.0,187.0,183.0,0.13966810250412443,13966810,6392488
2017.0,Nemanja Bjelica,28.0,208.0,108.0,Serbia,Belgrade,Unknown,MIN,PF,3949999.0,65.0,1.0,403.0,1190.0,11.0,0.171,0.6,0.9,1.5,0.3,151.0,356.0,56.0,177.0,95.0,179.0,45.0,61.0,57.0,187.0,244.0,79.0,40.0,20.0,59.0,154.0,0.052629947042060615,5262994,1312995
2017.0,Tyus Jones,20.0,188.0,88.0,Minnesota,Burnsville,Duke University,MIN,PG,1471382.0,60.0,0.0,209.0,774.0,13.8,0.238,1.0,0.6,1.5,0.0,75.0,181.0,26.0,73.0,49.0,108.0,33.0,43.0,10.0,57.0,67.0,156.0,47.0,5.0,38.0,50.0,0.03706212675586226,3706212,2234830
2017.0,Karl-Anthony Towns,21.0,213.0,110.0,New Jersey,Edison,University of Kentucky,MIN,C,6216840.0,82.0,82.0,2061.0,3030.0,26.0,0.289,9.9,2.8,12.7,5.4,802.0,1479.0,101.0,275.0,701.0,1204.0,356.0,428.0,296.0,711.0,1007.0,220.0,57.0,103.0,212.0,241.0,0.22184504965911023,22184504,15967664
2017.0,Kris Dunn,22.0,193.0,95.0,Connecticut,New London,Providence College,MIN,PG,4046760.0,78.0,7.0,293.0,1333.0,8.1,0.188,-1.2,1.3,0.1,-0.1,118.0,313.0,21.0,73.0,97.0,240.0,36.0,59.0,24.0,142.0,166.0,188.0,78.0,36.0,89.0,178.0,0.056822183331074645,5682218,1635458
