Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Jarrett Jack,33.0,190.0,90.0,Maryland,Fort Washington,Georgia Institute of Technology,NOP,PG,2328652.0,2.0,0.0,6.0,33.0,7.7,0.667,0.0,0.0,0.0,-0.1,2.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,4.0,0.0025301175110197063,253011,-2075641
2017.0,Alexis Ajinca,28.0,218.0,112.0,France,Saint-Etienne,Unknown,NOP,C,4961798.0,39.0,15.0,207.0,584.0,12.9,0.225,0.0,0.9,1.0,-0.3,89.0,178.0,0.0,4.0,89.0,174.0,29.0,40.0,46.0,131.0,177.0,12.0,20.0,22.0,31.0,77.0,0.028590291300421844,2859029,-2102769
2017.0,Omri Casspi,28.0,206.0,102.0,Israel,Holon,Unknown,NOP,SF,2106470.0,1.0,0.0,12.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,4.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0018690369793489244,186903,-1919567
2017.0,Dante Cunningham,29.0,203.0,104.0,Maryland,Clinton,Villanova University,NOP,SF,2300000.0,66.0,35.0,435.0,1649.0,10.2,0.075,1.4,1.6,3.0,0.6,174.0,359.0,71.0,181.0,103.0,178.0,16.0,27.0,56.0,221.0,277.0,36.0,39.0,28.0,28.0,100.0,0.060088964801280925,6008896,3708896
2017.0,Tyreke Evans,27.0,198.0,99.0,Pennsylvania,Chester,University of Memphis,NOP,SF,3290000.0,26.0,0.0,248.0,474.0,15.8,0.256,-0.1,0.7,0.5,0.2,91.0,227.0,21.0,70.0,70.0,157.0,45.0,58.0,6.0,80.0,86.0,91.0,23.0,4.0,39.0,41.0,0.026887025124414782,2688702,-601298
2017.0,Jrue Holiday,26.0,193.0,92.0,California,Chatsworth,"University of California, Los Angeles",NOP,PG,25686667.0,67.0,61.0,1029.0,2190.0,17.1,0.188,1.2,2.6,3.8,2.0,405.0,894.0,100.0,281.0,305.0,613.0,119.0,168.0,46.0,218.0,264.0,488.0,100.0,43.0,194.0,133.0,0.12337623661312865,12337623,-13349044
2017.0,Omer Asik,30.0,213.0,115.0,Turkey,Bursa,Unknown,NOP,C,10595505.0,31.0,19.0,85.0,482.0,9.8,0.6,0.4,0.6,1.0,-0.1,31.0,65.0,0.0,0.0,31.0,65.0,23.0,39.0,48.0,115.0,163.0,15.0,5.0,10.0,14.0,51.0,0.02271867040382597,2271867,-8323638
2017.0,DeMarcus Cousins,26.0,211.0,122.0,Alabama,Mobile,University of Kentucky,NOP,C,18063850.0,17.0,17.0,414.0,574.0,23.3,0.385,0.5,1.1,1.6,1.0,142.0,314.0,36.0,96.0,106.0,218.0,94.0,121.0,38.0,174.0,212.0,66.0,25.0,19.0,62.0,75.0,0.05273861966353707,5273861,-12789989
2017.0,Jordan Crawford,28.0,196.0,95.0,Michigan,Detroit,University of Kentucky,NOP,SG,250000.0,19.0,0.0,267.0,442.0,17.6,0.119,0.6,0.3,0.9,0.2,105.0,218.0,37.0,95.0,68.0,123.0,20.0,26.0,4.0,30.0,34.0,57.0,11.0,2.0,25.0,30.0,0.02354280236898848,2354280,2104280
2017.0,Lance Stephenson,26.0,196.0,104.0,New York,Brooklyn,University of Cincinnati,NOP,SG,4180000.0,6.0,0.0,58.0,162.0,10.3,0.145,0.0,0.1,0.1,-0.1,26.0,55.0,1.0,10.0,25.0,45.0,5.0,8.0,3.0,15.0,18.0,29.0,2.0,1.0,11.0,18.0,0.006337316514712999,633731,-3546269
2017.0,E'Twaun Moore,27.0,208.0,102.0,Unknown,Unknown,Unknown,NOP,SG,8445024.0,73.0,22.0,700.0,1820.0,12.1,0.12,1.2,1.5,2.7,0.3,283.0,619.0,77.0,208.0,206.0,411.0,57.0,74.0,33.0,119.0,152.0,164.0,50.0,32.0,62.0,131.0,0.06959420365409734,6959420,-1485604
2017.0,Anthony Davis,23.0,206.0,97.0,California,Oakland,University of Texas at El Paso,NOP,C,23775506.0,75.0,75.0,2099.0,2708.0,27.5,0.424,5.9,5.1,11.0,3.9,770.0,1527.0,40.0,134.0,730.0,1393.0,519.0,647.0,174.0,712.0,886.0,157.0,94.0,167.0,181.0,168.0,0.23768746085590545,23768746,-6760
2017.0,Terrence Jones,25.0,206.0,114.0,Oregon,Portland,University of Kentucky,NOP,PF,247285.0,51.0,12.0,584.0,1264.0,16.2,0.348,0.5,1.8,2.3,0.2,231.0,488.0,19.0,75.0,212.0,413.0,103.0,170.0,65.0,238.0,303.0,58.0,39.0,53.0,48.0,67.0,0.06443487369687362,6443487,6196202
2017.0,Donatas Motiejunas,26.0,213.0,100.0,Lithuania,Kaunas,Unknown,NOP,PF,618212.0,34.0,0.0,150.0,479.0,9.2,0.355,-0.4,0.6,0.2,-0.1,57.0,138.0,11.0,47.0,46.0,91.0,25.0,49.0,26.0,75.0,101.0,34.0,18.0,11.0,31.0,55.0,0.01977583771815081,1977583,1359371
2017.0,Solomon Hill,25.0,201.0,102.0,California,Los Angeles,University of Arizona,NOP,SF,12236535.0,80.0,71.0,563.0,2374.0,8.0,0.268,0.4,2.3,2.7,1.0,183.0,477.0,94.0,270.0,89.0,207.0,103.0,128.0,51.0,256.0,307.0,141.0,71.0,32.0,82.0,182.0,0.08481292493287498,8481292,-3755243
2017.0,Hollis Thompson,25.0,203.0,93.0,California,Pasadena,Georgetown University,NOP,SG,1015696.0,9.0,8.0,34.0,191.0,4.7,0.22,-0.2,0.2,0.0,-0.1,11.0,41.0,6.0,24.0,5.0,17.0,6.0,9.0,4.0,24.0,28.0,9.0,6.0,0.0,2.0,14.0,0.00537936246534345,537936,-477760
2017.0,Tim Frazier,26.0,185.0,77.0,Texas,Houston,Pennsylvania State University,NOP,PG,2000000.0,65.0,35.0,464.0,1525.0,12.4,0.319,1.0,1.4,2.4,-0.1,163.0,404.0,40.0,128.0,123.0,276.0,98.0,129.0,34.0,139.0,173.0,335.0,56.0,6.0,101.0,133.0,0.06419576933363998,6419576,4419576
2017.0,Langston Galloway,25.0,188.0,90.0,Louisiana,Baton Rouge,Saint Joseph's University,NOP,PG,6666667.0,55.0,0.0,471.0,1120.0,11.2,0.118,0.2,1.0,1.2,0.1,165.0,441.0,101.0,268.0,64.0,173.0,40.0,52.0,20.0,101.0,121.0,65.0,40.0,5.0,28.0,76.0,0.04147541200695979,4147541,-2519126
2017.0,Axel Toupane,24.0,201.0,89.0,France,Mulhouse,Unknown,NOP,SF,25000.0,2.0,0.0,11.0,41.0,8.6,0.0,0.1,0.0,0.1,0.0,5.0,8.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.002184651833390039,218465,193465
2017.0,Quinn Cook,23.0,188.0,83.0,District of Columbia,Washington,Duke University,NOP,PG,100000.0,9.0,0.0,52.0,111.0,15.3,0.073,0.2,0.1,0.3,-0.1,22.0,41.0,6.0,12.0,16.0,29.0,2.0,3.0,1.0,3.0,4.0,14.0,3.0,0.0,5.0,7.0,0.005783587589323997,578358,478358
