Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Carmelo Anthony,32.0,203.0,108.0,New York,New York,Syracuse University,NYK,SF,26243760.0,74.0,74.0,1659.0,2538.0,17.9,0.263,3.2,1.5,4.7,0.8,602.0,1389.0,151.0,421.0,451.0,968.0,304.0,365.0,62.0,374.0,436.0,213.0,60.0,34.0,153.0,198.0,0.15794786603773425,15794786,-10448974
2017.0,Sasha Vujacic,32.0,201.0,88.0,Slovenia,Maribor,Unknown,NYK,SG,1410598.0,42.0,4.0,124.0,408.0,8.6,0.17600000000000002,-0.1,0.2,0.1,-0.2,42.0,136.0,23.0,74.0,19.0,62.0,17.0,24.0,12.0,47.0,59.0,52.0,13.0,2.0,16.0,38.0,0.01473851927615107,1473851,63253
2017.0,Joakim Noah,31.0,211.0,104.0,New York,New York,University of Florida,NYK,C,17765000.0,46.0,46.0,232.0,1015.0,15.2,0.388,1.1,1.2,2.3,1.1,99.0,201.0,0.0,1.0,99.0,200.0,34.0,78.0,161.0,241.0,402.0,103.0,30.0,37.0,58.0,127.0,0.06178596616734489,6178596,-11586404
2017.0,Courtney Lee,31.0,196.0,90.0,Indiana,Indianapolis,Western Kentucky University,NYK,SG,11747890.0,77.0,74.0,835.0,2459.0,12.1,0.139,3.1,1.1,4.2,1.1,321.0,704.0,108.0,269.0,213.0,435.0,85.0,98.0,53.0,207.0,260.0,179.0,81.0,23.0,69.0,141.0,0.10667084273002563,10667084,-1080806
2017.0,Derrick Rose,28.0,190.0,86.0,Illinois,Chicago,University of Memphis,NYK,PG,2116955.0,64.0,64.0,1154.0,2082.0,17.0,0.259,2.4,0.6,3.0,0.0,460.0,977.0,13.0,60.0,447.0,917.0,221.0,253.0,66.0,180.0,246.0,283.0,44.0,17.0,147.0,84.0,0.10149873570336591,10149873,8032918
2017.0,Brandon Jennings,27.0,185.0,77.0,California,Compton,Unknown,NYK,PG,119010.0,58.0,11.0,496.0,1428.0,12.7,0.315,0.8,0.7,1.5,-0.2,163.0,429.0,68.0,200.0,95.0,229.0,102.0,135.0,21.0,131.0,152.0,287.0,55.0,5.0,106.0,84.0,0.05733546388638252,5733546,5614536
2017.0,Lance Thomas,28.0,203.0,106.0,New York,Brooklyn,Duke University,NYK,PF,6655325.0,46.0,15.0,275.0,968.0,8.4,0.209,0.6,0.4,0.9,-0.4,97.0,244.0,38.0,85.0,59.0,159.0,43.0,51.0,32.0,110.0,142.0,35.0,21.0,5.0,25.0,85.0,0.030709191740422363,3070919,-3584406
2017.0,Justin Holiday,27.0,198.0,83.0,California,Mission Hills,University of Washington,NYK,SG,4615385.0,82.0,4.0,629.0,1639.0,12.7,0.149,1.3,1.2,2.5,0.4,233.0,538.0,97.0,273.0,136.0,265.0,66.0,80.0,27.0,198.0,225.0,102.0,65.0,31.0,66.0,109.0,0.07124700054038072,7124700,2509315
2017.0,Kyle O'Quinn,26.0,208.0,113.0,New York,Flushing,Norfolk State University,NYK,C,4087500.0,79.0,8.0,496.0,1229.0,20.5,0.201,2.1,1.8,3.9,1.7,215.0,413.0,2.0,17.0,213.0,396.0,64.0,83.0,157.0,282.0,439.0,117.0,36.0,104.0,76.0,174.0,0.08483588322028902,8483588,4396088
2017.0,Kristaps Porzingis,21.0,221.0,108.0,Latvia,Liepaja,Unknown,NYK,PF,4503600.0,66.0,65.0,1196.0,2164.0,17.4,0.256,2.4,2.1,4.5,1.2,443.0,985.0,112.0,314.0,331.0,671.0,198.0,252.0,111.0,364.0,475.0,97.0,47.0,130.0,118.0,244.0,0.1363321322254617,13633213,9129613
2017.0,Ron Baker,23.0,193.0,99.0,Kansas,Hays,Wichita State University,NYK,SG,4328000.0,52.0,13.0,215.0,857.0,7.5,0.198,-0.6,0.5,-0.1,-0.5,82.0,217.0,23.0,86.0,59.0,131.0,28.0,43.0,12.0,86.0,98.0,107.0,34.0,8.0,56.0,74.0,0.023963528257367542,2396352,-1931648
2017.0,Willy Hernangomez,22.0,211.0,108.0,Spain,Madrid,Unknown,NYK,C,1435750.0,72.0,22.0,587.0,1324.0,18.9,0.269,1.8,1.6,3.4,0.7,246.0,465.0,4.0,15.0,242.0,450.0,91.0,125.0,170.0,332.0,502.0,96.0,41.0,36.0,100.0,150.0,0.08145057768934744,8145057,6709307
2017.0,Mindaugas Kuzminskas,27.0,206.0,97.0,Lithuania,Vilnius,Unknown,NYK,SF,3025035.0,68.0,5.0,425.0,1016.0,12.4,0.184,0.8,0.4,1.2,-0.2,158.0,369.0,54.0,168.0,104.0,201.0,55.0,68.0,47.0,79.0,126.0,69.0,29.0,11.0,51.0,79.0,0.04187761586512301,4187761,1162726
2017.0,Maurice Ndour,24.0,206.0,90.0,Senegal,Sindia,Ohio University,NYK,PF,724360.0,32.0,4.0,98.0,331.0,11.3,0.302,0.1,0.3,0.4,-0.1,39.0,86.0,1.0,7.0,38.0,79.0,19.0,26.0,22.0,42.0,64.0,8.0,15.0,8.0,12.0,30.0,0.012758315106220008,1275831,551471
2017.0,Marshall Plumlee,24.0,211.0,111.0,Indiana,Fort Wayne,Duke University,NYK,C,100000.0,21.0,1.0,40.0,170.0,10.9,0.633,0.0,0.1,0.2,0.0,16.0,30.0,0.0,0.0,16.0,30.0,8.0,19.0,23.0,28.0,51.0,10.0,4.0,4.0,12.0,23.0,0.006504117246430658,650411,550411
2017.0,Chasson Randle,23.0,188.0,83.0,Illinois,Rock Island,Stanford University,NYK,PG,1312611.0,18.0,0.0,95.0,225.0,12.3,0.431,0.3,0.1,0.4,-0.1,28.0,72.0,10.0,32.0,18.0,40.0,29.0,31.0,6.0,21.0,27.0,28.0,6.0,1.0,16.0,28.0,0.010344244307953245,1034424,-278187
