Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Nick Collison,36.0,208.0,115.0,Iowa,Orange City,University of Kansas,OKC,PF,2328652.0,20.0,0.0,33.0,128.0,12.8,0.348,0.3,0.1,0.4,0.0,14.0,23.0,0.0,1.0,14.0,22.0,5.0,8.0,9.0,21.0,30.0,12.0,2.0,2.0,4.0,17.0,0.009720246572712686,972024,-1356628
2017.0,Ersan Ilyasova,29.0,208.0,106.0,Turkey,Eskisehir,Unknown,OKC,PF,6000000.0,3.0,0.0,15.0,62.0,6.9,0.0,-0.1,0.1,0.0,-0.1,6.0,16.0,3.0,12.0,3.0,4.0,0.0,0.0,2.0,14.0,16.0,1.0,3.0,1.0,4.0,5.0,0.0025145371378626734,251453,-5748547
2017.0,Anthony Morrow,31.0,196.0,95.0,North Carolina,Charlotte,Georgia Institute of Technology,OKC,SG,2116955.0,40.0,7.0,230.0,627.0,9.2,0.117,0.4,0.4,0.9,-0.4,86.0,223.0,35.0,119.0,51.0,104.0,23.0,26.0,11.0,18.0,29.0,19.0,22.0,2.0,6.0,40.0,0.02027380635603302,2027380,-89575
2017.0,Russell Westbrook,28.0,190.0,90.0,California,Long Beach,"University of California, Los Angeles",OKC,PG,28530608.0,81.0,81.0,2558.0,2802.0,30.6,0.433,8.5,4.6,13.1,12.4,824.0,1941.0,200.0,583.0,624.0,1358.0,710.0,840.0,137.0,727.0,864.0,840.0,133.0,31.0,438.0,190.0,0.2881825338486624,28818253,287645
2017.0,Taj Gibson,31.0,206.0,102.0,New York,Brooklyn,University of Southern California,OKC,PF,14000000.0,23.0,16.0,207.0,487.0,13.8,0.218,0.2,0.6,0.8,-0.3,89.0,179.0,1.0,1.0,88.0,178.0,28.0,39.0,38.0,65.0,103.0,13.0,14.0,15.0,28.0,40.0,0.02386813350360303,2386813,-11613187
2017.0,Enes Kanter,24.0,211.0,111.0,Switzerland,Zurich,Unknown,OKC,C,20566802.0,72.0,0.0,1033.0,1533.0,23.7,0.387,4.0,1.8,5.8,0.3,402.0,737.0,5.0,38.0,397.0,699.0,224.0,285.0,195.0,287.0,482.0,67.0,32.0,38.0,123.0,154.0,0.10311840141253883,10311840,-10254962
2017.0,Kyle Singler,28.0,203.0,103.0,Oregon,Medford,Duke University,OKC,SF,4666500.0,32.0,2.0,88.0,385.0,5.9,0.205,0.0,0.3,0.3,-0.4,34.0,83.0,7.0,37.0,27.0,46.0,13.0,17.0,8.0,40.0,48.0,9.0,7.0,5.0,11.0,29.0,0.010983555428666407,1098355,-3568145
2017.0,Steven Adams,23.0,213.0,115.0,New Zealand,Rotorua,University of Pittsburgh,OKC,C,22471910.0,80.0,80.0,905.0,2389.0,16.5,0.392,3.3,3.1,6.4,1.5,374.0,655.0,0.0,1.0,374.0,654.0,157.0,257.0,282.0,333.0,615.0,86.0,88.0,78.0,146.0,195.0,0.12394614350625642,12394614,-10077296
2017.0,Victor Oladipo,24.0,193.0,95.0,Maryland,Silver Spring,Indiana University,OKC,SG,21000000.0,67.0,67.0,1067.0,2222.0,13.6,0.165,1.7,2.3,4.0,0.4,412.0,932.0,127.0,352.0,285.0,580.0,116.0,154.0,39.0,252.0,291.0,176.0,78.0,21.0,119.0,155.0,0.09837533601939842,9837533,-11162467
2017.0,Andre Roberson,25.0,196.0,83.0,Tennessee,Chattanooga,Oral Roberts University,OKC,SF,9259259.0,79.0,79.0,522.0,2376.0,9.6,0.24,1.1,3.1,4.2,1.2,215.0,463.0,45.0,184.0,170.0,279.0,47.0,111.0,98.0,304.0,402.0,79.0,94.0,79.0,51.0,204.0,0.08592755738478945,8592755,-666504
