Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Jeff Green,30.0,196.0,88.0,Unknown,Unknown,University of Maryland,ORL,PF,2116955.0,69.0,11.0,638.0,1534.0,10.5,0.301,-0.2,0.9,0.7,-1.0,220.0,558.0,53.0,193.0,167.0,365.0,145.0,168.0,39.0,175.0,214.0,81.0,37.0,13.0,75.0,103.0,0.04357129151342427,4357129,2240174
2017.0,C.J. Watson,32.0,211.0,117.0,Unknown,Unknown,Unknown,ORL,PG,333334.0,62.0,9.0,281.0,1012.0,9.3,0.266,0.2,0.6,0.9,-0.4,96.0,248.0,32.0,105.0,64.0,143.0,57.0,66.0,16.0,73.0,89.0,114.0,43.0,2.0,47.0,84.0,0.02874343050450754,2874343,2541009
2017.0,D.J. Augustin,29.0,206.0,106.0,Unknown,Unknown,Unknown,ORL,PG,7250000.0,78.0,20.0,616.0,1538.0,11.0,0.311,0.7,0.5,1.2,-0.9,195.0,517.0,95.0,274.0,100.0,243.0,131.0,161.0,15.0,102.0,117.0,209.0,31.0,1.0,90.0,101.0,0.045257596489359196,4525759,-2724241
2017.0,Serge Ibaka,27.0,208.0,106.0,Republic of the Congo,Brazzaville,Unknown,ORL,PF,20061729.0,56.0,56.0,846.0,1710.0,17.5,0.129,2.1,1.7,3.8,1.0,343.0,703.0,83.0,214.0,260.0,489.0,77.0,91.0,100.0,282.0,382.0,60.0,34.0,91.0,66.0,139.0,0.12392407223884504,12392407,-7669322
2017.0,Jodie Meeks,29.0,193.0,95.0,Georgia,Norcross,University of Kentucky,ORL,SG,3290000.0,36.0,10.0,327.0,738.0,13.1,0.289,0.5,0.6,1.1,0.0,103.0,256.0,56.0,137.0,47.0,119.0,65.0,74.0,5.0,72.0,77.0,45.0,34.0,4.0,36.0,41.0,0.03519825190021032,3519825,229825
2017.0,Bismack Biyombo,24.0,206.0,115.0,Democratic Republic of the Congo,Lubumbashi,Unknown,ORL,C,17000000.0,81.0,27.0,483.0,1793.0,12.2,0.69,0.8,2.1,2.9,-0.1,179.0,339.0,0.0,0.0,179.0,339.0,125.0,234.0,157.0,410.0,567.0,74.0,25.0,91.0,95.0,202.0,0.09573855586551948,9573855,-7426145
2017.0,Nikola Vucevic,26.0,213.0,117.0,Switzerland,Morges,University of Southern California,ORL,C,12250000.0,75.0,55.0,1096.0,2163.0,19.1,0.155,0.8,3.2,4.0,1.7,483.0,1031.0,23.0,75.0,460.0,956.0,107.0,160.0,176.0,603.0,779.0,208.0,77.0,74.0,117.0,180.0,0.16441922263257439,16441922,4191922
2017.0,Evan Fournier,24.0,201.0,92.0,France,Saint-Maurice,Unknown,ORL,SG,17000000.0,68.0,66.0,1167.0,2234.0,13.9,0.298,1.7,1.1,2.8,0.4,408.0,930.0,128.0,360.0,280.0,570.0,223.0,277.0,44.0,165.0,209.0,202.0,66.0,4.0,141.0,180.0,0.11476038034843757,11476038,-5523962
2017.0,Terrence Ross,25.0,201.0,93.0,Oregon,Portland,University of Washington,ORL,SF,10500000.0,24.0,24.0,299.0,748.0,11.1,0.101,0.0,0.6,0.6,0.1,115.0,267.0,46.0,135.0,69.0,132.0,23.0,27.0,4.0,64.0,68.0,43.0,34.0,13.0,35.0,61.0,0.03396988056589763,3396988,-7103012
2017.0,Aaron Gordon,21.0,206.0,99.0,California,San Jose,University of Arizona,ORL,SF,5504420.0,80.0,72.0,1019.0,2298.0,14.4,0.251,2.0,1.7,3.7,0.8,393.0,865.0,77.0,267.0,316.0,598.0,156.0,217.0,116.0,289.0,405.0,150.0,64.0,40.0,89.0,172.0,0.1311258537144121,13112585,7608165
