Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Gerald Henderson,29.0,188.0,79.0,Virginia,Richmond,Virginia Commonwealth University,PHI,SG,1000000.0,72.0,41.0,662.0,1667.0,10.8,0.298,1.0,1.0,2.1,-0.5,234.0,553.0,61.0,173.0,173.0,380.0,133.0,165.0,34.0,151.0,185.0,112.0,41.0,15.0,62.0,129.0,0.048638923824979335,4863892,3863892
2017.0,Ersan Ilyasova,29.0,208.0,106.0,Turkey,Eskisehir,Unknown,PHI,PF,6000000.0,53.0,40.0,786.0,1447.0,15.4,0.219,1.4,1.3,2.6,0.6,285.0,648.0,107.0,298.0,178.0,350.0,109.0,142.0,71.0,243.0,314.0,97.0,33.0,14.0,78.0,133.0,0.09290559575344197,9290559,3290559
2017.0,Sergio Rodriguez,30.0,190.0,79.0,Spain,Tenerife,Unknown,PHI,PG,8000000.0,68.0,30.0,530.0,1518.0,11.0,0.05,-0.3,1.0,0.7,-0.7,210.0,536.0,92.0,252.0,118.0,284.0,18.0,27.0,21.0,136.0,157.0,344.0,48.0,4.0,128.0,95.0,0.041485834062680076,4148583,-3851417
2017.0,Jerryd Bayless,28.0,190.0,90.0,Arizona,Phoenix,University of Arizona,PHI,PG,9000000.0,3.0,1.0,33.0,71.0,8.7,0.313,-0.1,0.0,-0.1,-0.1,11.0,32.0,2.0,5.0,9.0,27.0,9.0,10.0,3.0,9.0,12.0,13.0,0.0,0.0,9.0,4.0,9.825289441155339e-05,9825,-8990175
2017.0,Robert Covington,26.0,206.0,97.0,Illinois,Bellwood,Tennessee State University,PHI,SF,16698103.0,67.0,67.0,864.0,2119.0,13.2,0.238,0.0,3.2,3.1,1.8,292.0,732.0,137.0,412.0,155.0,320.0,143.0,174.0,92.0,344.0,436.0,102.0,127.0,69.0,131.0,203.0,0.17843259942581768,17843259,1145156
2017.0,Hollis Thompson,25.0,203.0,93.0,California,Pasadena,Georgetown University,PHI,SG,1015696.0,31.0,1.0,171.0,561.0,9.0,0.126,0.3,0.4,0.7,-0.1,66.0,159.0,26.0,71.0,40.0,88.0,13.0,20.0,15.0,68.0,83.0,26.0,14.0,6.0,9.0,55.0,0.01598559450398408,1598559,582863
2017.0,Jerami Grant,22.0,203.0,95.0,Oregon,Portland,Syracuse University,PHI,SF,1524305.0,2.0,0.0,16.0,41.0,3.3,0.471,-0.2,0.0,-0.1,-0.2,6.0,17.0,0.0,2.0,6.0,15.0,4.0,8.0,0.0,7.0,7.0,0.0,0.0,4.0,3.0,5.0,-0.003864093889654238,-386409,-1910714
2017.0,Nerlens Noel,22.0,211.0,103.0,Massachusetts,Malden,University of Kentucky,PHI,C,4187599.0,29.0,7.0,257.0,564.0,20.8,0.36,1.1,1.0,2.2,0.8,107.0,175.0,0.0,1.0,107.0,174.0,43.0,63.0,46.0,98.0,144.0,30.0,43.0,26.0,29.0,71.0,0.05271684970592949,5271684,1084085
2017.0,Nik Stauskas,23.0,198.0,92.0,Canada,Mississauga,University of Michigan,PHI,SG,3807146.0,80.0,27.0,756.0,2188.0,9.0,0.237,0.1,1.4,1.4,-0.2,251.0,634.0,132.0,359.0,119.0,275.0,122.0,150.0,21.0,205.0,226.0,188.0,45.0,32.0,128.0,144.0,0.07767917668596276,7767917,3960771
2017.0,Justin Anderson,23.0,198.0,103.0,Virginia,Montross,University of Virginia,PHI,SF,1579440.0,24.0,8.0,203.0,518.0,12.8,0.253,0.5,0.4,0.9,0.1,75.0,162.0,21.0,72.0,54.0,90.0,32.0,41.0,30.0,66.0,96.0,34.0,13.0,7.0,26.0,45.0,0.024421299249834227,2442129,862689
