Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Tyson Chandler,34.0,216.0,108.0,California,Hanford,Unknown,PHO,C,13000000.0,47.0,46.0,397.0,1298.0,16.6,0.544,2.7,1.3,4.0,0.5,153.0,228.0,0.0,0.0,153.0,228.0,91.0,124.0,154.0,385.0,539.0,30.0,33.0,24.0,67.0,126.0,0.08790064915075047,8790064,-4209936
2017.0,Leandro Barbosa,34.0,190.0,87.0,Brazil,San Paulo,Unknown,PHO,SG,500000.0,67.0,0.0,419.0,963.0,11.5,0.115,0.3,0.4,0.6,-0.5,172.0,392.0,35.0,98.0,137.0,294.0,40.0,45.0,15.0,89.0,104.0,81.0,31.0,8.0,48.0,82.0,0.026241133876967724,2624113,2124113
2017.0,Ronnie Price,33.0,188.0,86.0,Texas,Friendswood,Utah Valley State College,PHO,PG,2442455.0,14.0,0.0,14.0,134.0,5.9,0.16699999999999998,-0.1,0.1,0.0,0.0,4.0,24.0,3.0,17.0,1.0,7.0,3.0,4.0,3.0,8.0,11.0,18.0,11.0,1.0,3.0,14.0,0.006409826017451384,640982,-1801473
2017.0,P.J. Tucker,31.0,206.0,97.0,Unknown,Unknown,Unknown,PHO,SF,7590035.0,57.0,17.0,401.0,1627.0,10.6,0.218,1.0,1.3,2.4,1.2,147.0,354.0,46.0,136.0,101.0,218.0,61.0,77.0,94.0,249.0,343.0,73.0,85.0,14.0,52.0,143.0,0.08152486116505848,8152486,562451
2017.0,Jared Dudley,31.0,201.0,102.0,California,San Diego,Boston College,PHO,PF,10000000.0,64.0,7.0,434.0,1362.0,10.6,0.188,1.1,0.7,1.8,0.6,157.0,346.0,77.0,203.0,80.0,143.0,43.0,65.0,31.0,194.0,225.0,121.0,42.0,16.0,72.0,154.0,0.06371613243288929,6371613,-3628387
2017.0,Eric Bledsoe,27.0,185.0,86.0,Alabama,Birmingham,University of Kentucky,PHO,PG,14500000.0,66.0,66.0,1390.0,2176.0,20.6,0.443,4.0,1.4,5.4,2.9,449.0,1034.0,104.0,310.0,345.0,724.0,388.0,458.0,52.0,268.0,320.0,418.0,92.0,31.0,223.0,164.0,0.18559310811424456,18559310,4059310
2017.0,Brandon Knight,25.0,178.0,78.0,New Jersey,Livingston,Stanford University,PHO,SG,13618750.0,54.0,5.0,595.0,1140.0,12.3,0.293,0.1,0.2,0.3,-0.7,209.0,525.0,45.0,139.0,164.0,386.0,132.0,154.0,25.0,93.0,118.0,130.0,27.0,5.0,89.0,87.0,0.03429700482641315,3429700,-10189050
2017.0,Alex Len,23.0,216.0,117.0,Ukraine,Antratsit,University of Maryland,PHO,C,4187599.0,77.0,34.0,613.0,1560.0,15.0,0.449,1.2,1.7,3.0,0.1,230.0,463.0,3.0,12.0,227.0,451.0,150.0,208.0,156.0,354.0,510.0,44.0,37.0,98.0,102.0,242.0,0.08412103184006041,8412103,4224504
2017.0,T.J. Warren,23.0,208.0,108.0,Unknown,Unknown,Unknown,PHO,SF,3152931.0,66.0,59.0,951.0,2048.0,15.6,0.189,3.0,1.1,4.1,0.9,403.0,814.0,26.0,98.0,377.0,716.0,119.0,154.0,125.0,214.0,339.0,75.0,76.0,39.0,57.0,175.0,0.10252908017881972,10252908,7099977
2017.0,Devin Booker,20.0,198.0,93.0,Michigan,Grand Rapids,University of Kentucky,PHO,SG,2319360.0,78.0,78.0,1726.0,2730.0,14.6,0.308,1.4,0.6,2.0,-0.2,606.0,1431.0,147.0,405.0,459.0,1026.0,367.0,441.0,46.0,203.0,249.0,268.0,72.0,21.0,241.0,242.0,0.1159547945918233,11595479,9276119
2017.0,Jarell Eddie,25.0,201.0,98.0,Florida,Tampa,Virginia Polytechnic Institute and State University,PHO,SF,83129.0,5.0,0.0,24.0,62.0,9.7,0.474,0.1,0.0,0.1,-0.1,6.0,19.0,4.0,16.0,2.0,3.0,8.0,9.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,1.0,0.007723696016592687,772369,689240
2017.0,Alan Williams,24.0,198.0,90.0,Unknown,Unknown,Drake University,PHO,C,6000000.0,47.0,0.0,346.0,708.0,19.5,0.419,1.1,0.9,2.1,0.1,138.0,267.0,0.0,1.0,138.0,266.0,70.0,112.0,94.0,198.0,292.0,23.0,27.0,32.0,37.0,125.0,0.052627933437227076,5262793,-737207
