Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Al-Farouq Aminu,26.0,206.0,99.0,Georgia,Atlanta,Wake Forest University,POR,SF,7319035.0,61.0,25.0,532.0,1773.0,11.3,0.292,-0.1,2.0,1.9,0.4,183.0,466.0,70.0,212.0,113.0,254.0,96.0,136.0,77.0,374.0,451.0,99.0,60.0,44.0,94.0,102.0,0.06995567837518145,6995567,-323468
2017.0,Ed Davis,27.0,208.0,108.0,District of Columbia,Washington,University of North Carolina,POR,PF,6352531.0,46.0,12.0,200.0,789.0,11.5,0.57,1.0,0.7,1.7,0.0,75.0,142.0,0.0,0.0,75.0,142.0,50.0,81.0,96.0,147.0,243.0,27.0,15.0,22.0,37.0,137.0,0.032508188925846095,3250818,-3101713
2017.0,Evan Turner,28.0,201.0,99.0,Illinois,Chicago,Ohio State University,POR,SF,17131148.0,65.0,12.0,586.0,1658.0,11.4,0.187,0.0,1.2,1.2,-0.3,235.0,552.0,31.0,118.0,204.0,434.0,85.0,103.0,36.0,211.0,247.0,205.0,53.0,24.0,100.0,121.0,0.06310845162040266,6310845,-10820303
2017.0,Maurice Harkless,23.0,206.0,97.0,New York,Queens,St. John's University,POR,SF,10162922.0,77.0,69.0,773.0,2223.0,13.2,0.199,2.4,1.9,4.2,1.5,314.0,624.0,68.0,194.0,246.0,430.0,77.0,124.0,125.0,216.0,341.0,89.0,85.0,70.0,85.0,214.0,0.09725563065765473,9725563,-437359
2017.0,Meyers Leonard,24.0,216.0,111.0,Virginia,Woodbridge,University of Illinois at Urbana-Champaign,POR,PF,9904495.0,74.0,12.0,401.0,1222.0,8.9,0.106,0.5,0.8,1.4,-0.4,146.0,378.0,74.0,213.0,72.0,165.0,35.0,40.0,27.0,209.0,236.0,71.0,13.0,28.0,35.0,172.0,0.04576998593928376,4576998,-5327497
2017.0,Damian Lillard,26.0,190.0,88.0,California,Oakland,Weber State University,POR,PG,26153057.0,75.0,75.0,2024.0,2694.0,24.1,0.366,8.8,1.5,10.3,4.3,661.0,1488.0,214.0,578.0,447.0,910.0,488.0,545.0,46.0,322.0,368.0,439.0,68.0,20.0,197.0,152.0,0.2079588954812119,20795889,-5357168
2017.0,Allen Crabbe,24.0,198.0,95.0,California,Los Angeles,University of California,POR,SG,19332500.0,79.0,7.0,845.0,2254.0,11.6,0.192,3.1,1.0,4.1,0.5,303.0,647.0,134.0,302.0,169.0,345.0,105.0,124.0,19.0,206.0,225.0,93.0,54.0,20.0,62.0,171.0,0.08477151360463277,8477151,-10855349
2017.0,C.J. McCollum,25.0,190.0,86.0,Unknown,Unknown,Unknown,POR,SG,23962573.0,80.0,80.0,1837.0,2796.0,19.9,0.204,6.2,1.4,7.6,2.1,692.0,1441.0,185.0,440.0,507.0,1001.0,268.0,294.0,60.0,231.0,291.0,285.0,72.0,42.0,172.0,202.0,0.170714998767137,17071499,-6891074
2017.0,Mason Plumlee,26.0,211.0,111.0,Indiana,Fort Wayne,Duke University,POR,C,14041096.0,54.0,54.0,597.0,1516.0,18.9,0.507,2.8,1.8,4.6,1.9,235.0,442.0,0.0,5.0,235.0,437.0,127.0,224.0,120.0,313.0,433.0,214.0,50.0,63.0,89.0,149.0,0.0904709877983874,9047098,-4993998
2017.0,Shabazz Napier,25.0,185.0,79.0,Massachusetts,Roxbury,University of Connecticut,POR,PG,2361360.0,53.0,2.0,218.0,512.0,13.6,0.268,0.1,0.5,0.6,0.0,73.0,183.0,34.0,92.0,39.0,91.0,38.0,49.0,8.0,53.0,61.0,67.0,32.0,2.0,41.0,38.0,0.027170747853699405,2717074,355714
2017.0,Jusuf Nurkic,22.0,213.0,127.0,Bosnia and Herzegovina,Tuzla,Unknown,POR,C,2947305.0,20.0,19.0,304.0,584.0,21.1,0.411,0.4,1.0,1.4,0.7,120.0,236.0,0.0,1.0,120.0,235.0,64.0,97.0,65.0,142.0,207.0,63.0,25.0,38.0,62.0,73.0,0.04139213641233844,4139213,1191908
2017.0,Noah Vonleh,21.0,208.0,108.0,Massachusetts,Haverhill,Indiana University,POR,PF,3505233.0,74.0,41.0,327.0,1265.0,10.8,0.348,0.6,1.2,1.8,-0.6,130.0,270.0,7.0,20.0,123.0,250.0,60.0,94.0,131.0,256.0,387.0,31.0,30.0,27.0,64.0,154.0,0.04669964774187321,4669964,1164731
2017.0,Pat Connaughton,24.0,196.0,93.0,Massachusetts,Arlington,University of Notre Dame,POR,SG,1471382.0,39.0,1.0,98.0,316.0,11.8,0.125,0.4,0.2,0.6,0.0,37.0,72.0,17.0,33.0,20.0,39.0,7.0,9.0,10.0,42.0,52.0,28.0,6.0,2.0,17.0,23.0,0.014220983202284062,1422098,-49284
2017.0,Jake Layman,22.0,206.0,95.0,Massachusetts,Norwood,University of Maryland,POR,SF,1312611.0,35.0,1.0,78.0,249.0,4.9,0.191,-0.4,0.1,-0.3,-0.3,26.0,89.0,13.0,51.0,13.0,38.0,13.0,17.0,6.0,18.0,24.0,11.0,9.0,3.0,11.0,22.0,0.008002153620067119,800215,-512396
