Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Matt Barnes,36.0,203.0,95.0,Rhode Island,Providence,Providence College,SAC,SF,2133542.0,54.0,13.0,413.0,1367.0,10.2,0.172,-0.1,1.1,1.0,0.4,147.0,383.0,69.0,211.0,78.0,172.0,50.0,66.0,55.0,241.0,296.0,149.0,36.0,17.0,83.0,138.0,0.05644849648910582,5644849,3511307
2017.0,Jordan Farmar,30.0,188.0,81.0,California,Los Angeles,"University of California, Los Angeles",SAC,PG,510921.0,2.0,0.0,12.0,35.0,14.4,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,9.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,9.0,2.0,0.0,3.0,1.0,0.0030973101457010986,309731,-201190
2017.0,Rudy Gay,30.0,203.0,104.0,New York,Brooklyn,University of Connecticut,SAC,SF,8406000.0,30.0,30.0,562.0,1013.0,17.9,0.312,0.8,1.0,1.8,0.7,201.0,442.0,42.0,113.0,159.0,329.0,118.0,138.0,35.0,155.0,190.0,82.0,44.0,26.0,74.0,79.0,0.06584180318076079,6584180,-1821820
2017.0,Arron Afflalo,31.0,196.0,95.0,California,Los Angeles,"University of California, Los Angeles",SAC,SG,2328652.0,61.0,45.0,515.0,1580.0,9.0,0.221,1.2,0.2,1.4,-0.6,185.0,420.0,62.0,151.0,123.0,269.0,83.0,93.0,9.0,116.0,125.0,78.0,21.0,7.0,42.0,104.0,0.044971157838400666,4497115,2168463
2017.0,Kosta Koufos,27.0,213.0,120.0,Ohio,Canton,Ohio State University,SAC,C,8393000.0,71.0,62.0,470.0,1419.0,13.8,0.158,1.2,1.4,2.6,0.0,216.0,392.0,0.0,1.0,216.0,391.0,38.0,62.0,118.0,285.0,403.0,47.0,36.0,48.0,61.0,172.0,0.07199208848726503,7199208,-1193792
2017.0,Anthony Tolliver,31.0,203.0,108.0,Missouri,Springfield,Creighton University,SAC,PF,3290000.0,65.0,9.0,461.0,1477.0,11.1,0.234,1.5,0.8,2.3,0.5,155.0,351.0,90.0,230.0,65.0,121.0,61.0,82.0,51.0,188.0,239.0,77.0,33.0,20.0,56.0,109.0,0.0593215021142502,5932150,2642150
2017.0,Omri Casspi,28.0,206.0,102.0,Israel,Holon,Unknown,SAC,SF,2106470.0,22.0,2.0,129.0,397.0,11.4,0.179,0.1,0.3,0.4,-0.1,53.0,117.0,11.0,29.0,42.0,88.0,12.0,21.0,20.0,70.0,90.0,26.0,10.0,1.0,17.0,23.0,0.015731377170900812,1573137,-533333
2017.0,Darren Collison,29.0,183.0,79.0,California,Rancho Cucamonga,"University of California, Los Angeles",SAC,PG,10000000.0,68.0,64.0,900.0,2063.0,15.3,0.239,3.1,0.8,3.9,0.3,340.0,714.0,73.0,175.0,267.0,539.0,147.0,171.0,23.0,130.0,153.0,312.0,67.0,9.0,114.0,119.0,0.09266022471727964,9266022,-733978
2017.0,Tyreke Evans,27.0,198.0,99.0,Pennsylvania,Chester,University of Memphis,SAC,SF,3290000.0,14.0,6.0,163.0,314.0,14.9,0.238,0.0,0.3,0.2,0.0,59.0,143.0,21.0,48.0,38.0,95.0,24.0,34.0,7.0,44.0,51.0,33.0,12.0,5.0,22.0,19.0,0.018118555913021528,1811855,-1478145
2017.0,Ty Lawson,29.0,180.0,88.0,Maryland,Clinton,University of North Carolina,SAC,PG,1315448.0,69.0,24.0,681.0,1732.0,15.4,0.416,2.2,1.0,3.2,0.3,237.0,522.0,34.0,118.0,203.0,404.0,173.0,217.0,44.0,135.0,179.0,335.0,74.0,6.0,129.0,119.0,0.08185099849083413,8185099,6869651
2017.0,Garrett Temple,30.0,198.0,88.0,Louisiana,Baton Rouge,Louisiana State University,SAC,SG,8000000.0,65.0,21.0,506.0,1728.0,11.2,0.171,0.9,1.3,2.2,1.0,183.0,432.0,82.0,220.0,101.0,212.0,58.0,74.0,32.0,151.0,183.0,169.0,84.0,28.0,78.0,141.0,0.0714996695523967,7149966,-850034
2017.0,DeMarcus Cousins,26.0,211.0,122.0,Alabama,Mobile,University of Kentucky,SAC,C,18063850.0,55.0,55.0,1528.0,1891.0,26.5,0.491,3.3,2.7,6.0,4.3,505.0,1119.0,95.0,268.0,410.0,851.0,423.0,549.0,115.0,470.0,585.0,266.0,75.0,73.0,207.0,203.0,0.19731299775302708,19731299,1667449
2017.0,Ben McLemore,23.0,196.0,88.0,Missouri,St. Louis,University of Kansas,SAC,SG,5200000.0,61.0,26.0,495.0,1176.0,9.8,0.222,-0.1,0.5,0.4,-0.8,180.0,419.0,65.0,170.0,115.0,249.0,70.0,93.0,19.0,111.0,130.0,51.0,29.0,6.0,62.0,108.0,0.03817818905647689,3817818,-1382182
