Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Pau Gasol,36.0,213.0,113.0,Spain,Barcelona,Unknown,SAS,C,16000000.0,64.0,39.0,792.0,1627.0,20.2,0.305,3.3,3.1,6.4,2.4,303.0,604.0,56.0,104.0,247.0,500.0,130.0,184.0,107.0,394.0,501.0,150.0,24.0,70.0,81.0,110.0,0.09831644342190733,9831644,-6168356
2017.0,Tony Parker,34.0,188.0,83.0,Belgium,Bruges,Unknown,SAS,PG,15453126.0,63.0,63.0,638.0,1587.0,13.0,0.206,1.4,1.7,3.0,-0.4,265.0,569.0,23.0,69.0,242.0,500.0,85.0,117.0,9.0,104.0,113.0,285.0,33.0,2.0,89.0,92.0,0.06863262602526693,6863262,-8589864
2017.0,Manu Ginobili,39.0,198.0,92.0,Argentina,Bahia Blanca,Unknown,SAS,SG,2500000.0,69.0,0.0,517.0,1291.0,13.9,0.244,0.6,2.4,3.0,1.3,171.0,439.0,89.0,227.0,82.0,212.0,86.0,107.0,28.0,129.0,157.0,183.0,82.0,16.0,96.0,119.0,0.0597523990332458,5975239,3475239
2017.0,David Lee,33.0,201.0,102.0,California,Modesto,University of San Francisco,SAS,PF,1578813.0,79.0,10.0,576.0,1477.0,18.4,0.269,3.2,2.5,5.7,1.9,248.0,420.0,0.0,0.0,248.0,420.0,80.0,113.0,148.0,292.0,440.0,124.0,31.0,40.0,82.0,125.0,0.07837301679962948,7837301,6258488
2017.0,LaMarcus Aldridge,31.0,211.0,117.0,Texas,Dallas,University of Texas at Austin,SAS,PF,21461010.0,72.0,72.0,1243.0,2335.0,18.6,0.258,3.5,3.7,7.3,1.8,500.0,1049.0,23.0,56.0,477.0,993.0,220.0,271.0,174.0,350.0,524.0,139.0,46.0,89.0,98.0,158.0,0.1332909563454846,13329095,-8131915
2017.0,Danny Green,29.0,206.0,100.0,California,Lynwood,"University of California, Los Angeles",SAS,SG,10000000.0,68.0,68.0,497.0,1807.0,10.2,0.071,0.4,3.0,3.4,2.0,176.0,449.0,118.0,311.0,58.0,138.0,27.0,32.0,31.0,193.0,224.0,124.0,71.0,58.0,76.0,120.0,0.06929723361052958,6929723,-3070277
2017.0,Patty Mills,28.0,203.0,111.0,Louisiana,Monroe,Louisiana Tech University,SAS,PG,10714286.0,80.0,8.0,759.0,1754.0,15.2,0.129,2.8,2.2,5.1,1.5,273.0,622.0,147.0,356.0,126.0,266.0,66.0,80.0,24.0,118.0,142.0,280.0,65.0,3.0,101.0,109.0,0.07454611395383438,7454611,-3259675
2017.0,Kawhi Leonard,25.0,201.0,104.0,California,Los Angeles,San Diego State University,SAS,SF,18868625.0,74.0,74.0,1888.0,2474.0,27.5,0.407,8.9,4.7,13.6,6.2,636.0,1311.0,147.0,386.0,489.0,925.0,469.0,533.0,80.0,350.0,430.0,260.0,132.0,55.0,154.0,122.0,0.18812740587510493,18812740,-55885
2017.0,Dewayne Dedmon,27.0,213.0,111.0,California,Lancaster,University of Southern California,SAS,C,6000000.0,76.0,37.0,387.0,1330.0,16.0,0.359,2.2,3.0,5.2,1.2,161.0,259.0,0.0,0.0,161.0,259.0,65.0,93.0,129.0,366.0,495.0,44.0,37.0,61.0,61.0,180.0,0.07192791661040154,7192791,1192791
2017.0,Kyle Anderson,23.0,206.0,104.0,New York,New York,"University of California, Los Angeles",SAS,SG,2151704.0,72.0,14.0,246.0,1020.0,12.5,0.273,0.7,2.0,2.7,0.9,93.0,209.0,15.0,40.0,78.0,169.0,45.0,57.0,33.0,175.0,208.0,91.0,51.0,26.0,39.0,63.0,0.04280397166989402,4280397,2128693
2017.0,Jonathon Simmons,27.0,185.0,83.0,Alabama,Birmingham,New York University,SAS,SG,6300000.0,78.0,8.0,483.0,1392.0,9.9,0.314,-0.1,2.1,2.0,0.0,177.0,421.0,30.0,102.0,147.0,319.0,99.0,132.0,20.0,140.0,160.0,126.0,47.0,25.0,76.0,146.0,0.05424062258914744,5424062,-875938
2017.0,Davis Bertans,24.0,208.0,95.0,Latvia,Valmiera,Unknown,SAS,PF,1312611.0,67.0,6.0,303.0,808.0,12.9,0.145,1.1,1.2,2.3,0.8,103.0,234.0,69.0,173.0,34.0,61.0,28.0,34.0,22.0,77.0,99.0,46.0,20.0,28.0,32.0,75.0,0.03532962528536666,3532962,2220351
2017.0,Bryn Forbes,23.0,190.0,86.0,Michigan,Lansing,Michigan State University,SAS,SG,1312611.0,36.0,0.0,94.0,285.0,5.9,0.061,-0.2,0.2,0.1,-0.3,36.0,99.0,17.0,53.0,19.0,46.0,5.0,6.0,2.0,21.0,23.0,23.0,1.0,0.0,11.0,20.0,0.00855907360509462,855907,-456704
2017.0,Dejounte Murray,20.0,196.0,77.0,Washington,Seattle,University of Washington,SAS,PG,1312611.0,38.0,8.0,130.0,322.0,9.6,0.259,-0.4,0.5,0.0,-0.2,50.0,116.0,9.0,23.0,41.0,93.0,21.0,30.0,6.0,36.0,42.0,48.0,8.0,6.0,38.0,29.0,0.01680259517509259,1680259,367648
