Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Kyle Lowry,30.0,183.0,92.0,Pennsylvania,Philadelphia,Villanova University,TOR,PG,28703704.0,60.0,60.0,1344.0,2244.0,22.9,0.398,7.8,2.3,10.1,4.9,426.0,918.0,193.0,468.0,233.0,450.0,299.0,365.0,48.0,240.0,288.0,417.0,88.0,19.0,173.0,170.0,0.15944605070554557,15944605,-12759099
2017.0,P.J. Tucker,31.0,206.0,97.0,Unknown,Unknown,Unknown,TOR,SF,7590035.0,24.0,4.0,139.0,609.0,10.4,0.125,0.4,0.9,1.3,0.5,52.0,128.0,24.0,60.0,28.0,68.0,11.0,16.0,23.0,106.0,129.0,26.0,31.0,5.0,14.0,53.0,0.023320366050178596,2332036,-5257999
2017.0,DeMarre Carroll,30.0,203.0,97.0,Alabama,Birmingham,University of Missouri,TOR,SF,14800000.0,72.0,72.0,638.0,1882.0,11.9,0.213,1.7,2.1,3.8,1.4,220.0,549.0,109.0,320.0,111.0,229.0,89.0,117.0,63.0,212.0,275.0,74.0,81.0,27.0,54.0,143.0,0.08097645923231253,8097645,-6702355
2017.0,DeMar DeRozan,27.0,201.0,100.0,California,Compton,University of Southern California,TOR,SG,27739975.0,74.0,74.0,2020.0,2620.0,24.0,0.419,6.7,2.4,9.0,1.9,721.0,1545.0,33.0,124.0,688.0,1421.0,545.0,647.0,70.0,316.0,386.0,290.0,78.0,13.0,180.0,134.0,0.17885325465044027,17885325,-9854650
2017.0,Serge Ibaka,27.0,208.0,106.0,Republic of the Congo,Brazzaville,Unknown,TOR,PF,20061729.0,23.0,23.0,327.0,712.0,13.8,0.122,0.4,0.8,1.3,0.0,128.0,279.0,41.0,103.0,87.0,176.0,30.0,34.0,29.0,127.0,156.0,15.0,7.0,33.0,39.0,76.0,0.03362016589672337,3362016,-16699713
2017.0,Patrick Patterson,27.0,206.0,104.0,District of Columbia,Washington,University of Kentucky,TOR,PF,5192000.0,65.0,8.0,445.0,1599.0,10.8,0.156,1.7,1.6,3.3,1.2,154.0,384.0,94.0,253.0,60.0,131.0,43.0,60.0,62.0,229.0,291.0,76.0,40.0,23.0,38.0,120.0,0.05781242295670359,5781242,589242
2017.0,Cory Joseph,25.0,190.0,87.0,Canada,Toronto,University of Texas at Austin,TOR,SG,7630000.0,80.0,22.0,740.0,2003.0,13.2,0.185,1.7,1.7,3.4,0.6,299.0,661.0,48.0,135.0,251.0,526.0,94.0,122.0,51.0,184.0,235.0,265.0,66.0,13.0,108.0,140.0,0.08067241968209674,8067241,437241
2017.0,Terrence Ross,25.0,201.0,93.0,Oregon,Portland,University of Washington,TOR,SF,10500000.0,54.0,0.0,559.0,1207.0,14.9,0.104,1.6,1.4,2.9,0.7,211.0,479.0,96.0,256.0,115.0,223.0,41.0,50.0,14.0,125.0,139.0,45.0,54.0,20.0,33.0,82.0,0.05335591215300721,5335591,-5164409
2017.0,Jonas Valanciunas,24.0,213.0,120.0,Lithuania,Utena,Unknown,TOR,C,15460675.0,80.0,80.0,959.0,2066.0,20.1,0.309,4.9,3.0,7.9,0.7,391.0,702.0,1.0,2.0,390.0,700.0,176.0,217.0,226.0,533.0,759.0,57.0,37.0,63.0,106.0,216.0,0.11456732413340495,11456732,-4003943
2017.0,Bruno Caboclo,21.0,206.0,98.0,Brazil,Osasco,Unknown,TOR,SF,2451225.0,9.0,0.0,14.0,40.0,14.6,0.0,0.0,0.1,0.1,0.0,6.0,16.0,2.0,6.0,4.0,10.0,0.0,0.0,5.0,5.0,10.0,4.0,2.0,1.0,2.0,4.0,0.004807638876972601,480763,-1970462
2017.0,Lucas Nogueira,24.0,213.0,109.0,Brazil,Sao Goncalo,Unknown,TOR,C,2947305.0,57.0,6.0,253.0,1088.0,15.5,0.429,1.7,2.0,3.7,2.0,103.0,156.0,3.0,12.0,100.0,144.0,44.0,67.0,82.0,161.0,243.0,42.0,52.0,90.0,46.0,137.0,0.049239312772042104,4923931,1976626
2017.0,Norman Powell,23.0,193.0,97.0,California,San Diego,"University of California, Los Angeles",TOR,SG,1471382.0,76.0,18.0,636.0,1368.0,14.0,0.314,1.4,1.4,2.8,0.2,227.0,506.0,56.0,173.0,171.0,333.0,126.0,159.0,26.0,142.0,168.0,82.0,51.0,14.0,70.0,127.0,0.06353168148917578,6353168,4881786
2017.0,Delon Wright,24.0,196.0,83.0,California,Los Angeles,University of Utah,TOR,PG,1645200.0,27.0,0.0,150.0,446.0,15.0,0.474,0.5,0.6,1.1,0.4,49.0,116.0,10.0,30.0,39.0,86.0,42.0,55.0,16.0,32.0,48.0,57.0,27.0,11.0,25.0,31.0,0.023413590330303984,2341359,696159
2017.0,Jakob Poeltl,21.0,213.0,112.0,Austria,Vienna,University of Utah,TOR,C,2825640.0,54.0,4.0,165.0,626.0,12.2,0.496,0.9,0.7,1.6,0.2,67.0,115.0,0.0,0.0,67.0,115.0,31.0,57.0,78.0,87.0,165.0,12.0,17.0,20.0,29.0,113.0,0.027595745055925054,2759574,-66066
