Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Joe Johnson,35.0,201.0,90.0,Mississippi,Carthage,University of Iowa,UTA,SF,9505000.0,78.0,14.0,715.0,1843.0,12.8,0.123,1.7,2.1,3.8,0.8,273.0,626.0,106.0,258.0,167.0,368.0,63.0,77.0,33.0,209.0,242.0,144.0,36.0,18.0,69.0,93.0,0.07059817677398637,7059817,-2445183
2017.0,Boris Diaw,34.0,203.0,113.0,France,Cormeille-en-Parisis,Unknown,UTA,PF,7000000.0,73.0,33.0,338.0,1283.0,9.0,0.107,-0.1,1.2,1.1,-0.3,146.0,327.0,20.0,81.0,126.0,246.0,26.0,35.0,46.0,112.0,158.0,170.0,18.0,9.0,87.0,83.0,0.04216734821896195,4216734,-2783266
2017.0,George Hill,30.0,190.0,85.0,Indiana,Indianapolis,Indiana University-Purdue University Indianapolis,UTA,PG,20000000.0,49.0,49.0,829.0,1544.0,19.3,0.32299999999999995,4.0,1.9,5.9,2.2,289.0,606.0,94.0,233.0,195.0,373.0,157.0,196.0,23.0,144.0,167.0,203.0,50.0,11.0,85.0,114.0,0.09376839866817652,9376839,-10623161
2017.0,Derrick Favors,25.0,208.0,120.0,Georgia,Atlanta,Georgia Institute of Technology,UTA,PF,12000000.0,50.0,39.0,476.0,1186.0,15.8,0.261,0.5,2.2,2.7,0.6,203.0,417.0,3.0,10.0,200.0,407.0,67.0,109.0,92.0,213.0,305.0,56.0,45.0,40.0,60.0,103.0,0.06322066288633307,6322066,-5677934
2017.0,Gordon Hayward,26.0,203.0,102.0,Indiana,Indianapolis,Butler University,UTA,SF,29727900.0,73.0,73.0,1601.0,2516.0,22.2,0.371,7.1,3.3,10.4,4.0,545.0,1156.0,149.0,374.0,396.0,782.0,362.0,429.0,49.0,344.0,393.0,252.0,73.0,20.0,140.0,117.0,0.16605050199366403,16605050,-13122850
2017.0,Alec Burks,25.0,198.0,97.0,Missouri,Grandview,University of Colorado,UTA,SG,10845506.0,42.0,0.0,283.0,653.0,11.6,0.315,-0.1,0.9,0.8,-0.4,99.0,248.0,25.0,76.0,74.0,172.0,60.0,78.0,17.0,103.0,120.0,30.0,18.0,5.0,35.0,50.0,0.028517241604700202,2851724,-7993782
2017.0,Shelvin Mack,26.0,190.0,92.0,Kentucky,Lexington,Butler University,UTA,PG,6000000.0,55.0,9.0,430.0,1205.0,10.9,0.202,-0.1,1.5,1.4,0.1,170.0,381.0,37.0,120.0,133.0,261.0,53.0,77.0,20.0,108.0,128.0,154.0,42.0,3.0,90.0,100.0,0.04664547280313345,4664547,-1335453
2017.0,Rudy Gobert,24.0,216.0,111.0,France,Saint-Quentin,Unknown,UTA,C,21974719.0,81.0,81.0,1137.0,2744.0,23.3,0.763,8.3,6.0,14.3,5.4,413.0,624.0,0.0,1.0,413.0,623.0,311.0,476.0,314.0,721.0,1035.0,97.0,49.0,214.0,148.0,246.0,0.19452886984406673,19452886,-2521833
2017.0,Jeff Withey,26.0,213.0,104.0,California,San Diego,University of Kansas,UTA,C,1577320.0,51.0,1.0,146.0,432.0,18.8,0.466,1.0,0.9,1.8,0.4,55.0,103.0,0.0,1.0,55.0,102.0,36.0,48.0,52.0,69.0,121.0,7.0,16.0,32.0,14.0,52.0,0.030041756217014663,3004175,1426855
2017.0,Dante Exum,21.0,198.0,86.0,Australia,Melbourne,Unknown,UTA,PG,4992385.0,66.0,26.0,412.0,1228.0,8.6,0.201,-0.1,1.3,1.2,-0.1,155.0,363.0,44.0,149.0,111.0,214.0,58.0,73.0,30.0,102.0,132.0,112.0,21.0,12.0,80.0,146.0,0.04529588457152916,4529588,-462797
2017.0,Rodney Hood,24.0,203.0,93.0,Mississippi,Meridian,Duke University,UTA,SG,2386864.0,59.0,55.0,748.0,1593.0,12.4,0.173,0.7,1.9,2.6,0.3,272.0,666.0,114.0,307.0,158.0,359.0,90.0,115.0,16.0,186.0,202.0,96.0,38.0,11.0,65.0,132.0,0.06987885362666744,6987885,4601021
2017.0,Joe Ingles,29.0,203.0,102.0,Australia,Happy Valley,Unknown,UTA,SF,14136364.0,82.0,26.0,581.0,1972.0,12.4,0.151,2.0,3.0,5.0,2.3,204.0,451.0,123.0,279.0,81.0,172.0,50.0,68.0,23.0,237.0,260.0,224.0,96.0,8.0,107.0,163.0,0.0818420269399066,8184202,-5952162
2017.0,Trey Lyles,21.0,208.0,106.0,Canada,Saskatoon,University of Kentucky,UTA,PF,2441400.0,71.0,4.0,440.0,1158.0,10.0,0.18,-0.9,1.6,0.8,-0.3,159.0,439.0,65.0,204.0,94.0,235.0,57.0,79.0,48.0,187.0,235.0,70.0,26.0,20.0,64.0,97.0,0.043862443997129595,4386244,1944844
2017.0,Raul Neto,24.0,185.0,81.0,Brazil,Belo Horizonte,Unknown,UTA,PG,1471382.0,40.0,0.0,100.0,346.0,10.7,0.099,0.2,0.6,0.7,0.1,41.0,91.0,10.0,31.0,31.0,60.0,8.0,9.0,4.0,26.0,30.0,34.0,21.0,5.0,15.0,48.0,0.015452154397556485,1545215,73833
2017.0,Joel Bolomboy,23.0,206.0,106.0,Ukraine,Kiev,Weber State University,UTA,PF,1312611.0,12.0,0.0,22.0,53.0,19.7,0.375,0.1,0.1,0.2,0.0,9.0,16.0,1.0,4.0,8.0,12.0,3.0,6.0,4.0,13.0,17.0,2.0,1.0,2.0,2.0,1.0,0.008130207457173844,813020,-499591
