Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Player Co Rate,Salary Expected,Difference
2017.0,Marcin Gortat,32.0,211.0,108.0,Poland,Lodz,Unknown,WAS,C,12782609.0,82.0,82.0,883.0,2556.0,15.5,0.236,3.9,2.9,6.8,1.5,390.0,674.0,0.0,2.0,390.0,672.0,103.0,159.0,238.0,611.0,849.0,121.0,40.0,65.0,118.0,213.0,0.12165766012666984,12165766,-616843
2017.0,Ian Mahinmi,30.0,211.0,113.0,France,Rouen,Unknown,WAS,C,16661641.0,31.0,0.0,173.0,555.0,14.1,0.6759999999999999,0.5,0.9,1.4,0.4,65.0,111.0,0.0,0.0,65.0,111.0,43.0,75.0,47.0,103.0,150.0,19.0,33.0,24.0,34.0,90.0,0.03022192176644074,3022192,-13639449
2017.0,Jason Smith,30.0,211.0,113.0,Georgia,Atlanta,Louisiana State University,WAS,C,5225000.0,74.0,3.0,420.0,1068.0,13.6,0.155,1.0,1.3,2.3,0.2,174.0,329.0,37.0,78.0,137.0,251.0,35.0,51.0,64.0,194.0,258.0,37.0,21.0,55.0,58.0,168.0,0.0520448645867785,5204486,-20514
2017.0,Brandon Jennings,27.0,185.0,77.0,California,Compton,Unknown,WAS,PG,119010.0,23.0,2.0,81.0,374.0,9.7,0.16,-0.1,0.3,0.2,-0.3,29.0,106.0,11.0,52.0,18.0,54.0,12.0,17.0,8.0,36.0,44.0,108.0,15.0,0.0,22.0,32.0,0.012842270110994779,1284227,1165217
2017.0,Marcus Thornton,29.0,193.0,92.0,Louisiana,Baton Rouge,Louisiana State University,WAS,SG,46080.0,33.0,1.0,219.0,575.0,10.4,0.129,0.1,0.4,0.5,-0.2,84.0,210.0,28.0,80.0,56.0,130.0,23.0,27.0,22.0,54.0,76.0,41.0,19.0,3.0,25.0,48.0,0.021353363515060793,2135336,2089256
2017.0,John Wall,26.0,193.0,88.0,North Carolina,Raleigh,University of Kentucky,WAS,PG,18063850.0,78.0,78.0,1805.0,2836.0,23.2,0.3670000000000001,5.7,3.0,8.8,4.3,647.0,1435.0,89.0,272.0,558.0,1163.0,422.0,527.0,58.0,268.0,326.0,831.0,157.0,49.0,323.0,151.0,0.19296905259336358,19296905,1233055
2017.0,Markieff Morris,27.0,188.0,88.0,Unknown,Unknown,Northwestern University,WAS,PF,8000000.0,76.0,76.0,1063.0,2374.0,13.7,0.242,1.6,2.5,4.1,0.6,406.0,889.0,71.0,196.0,335.0,693.0,180.0,215.0,107.0,385.0,492.0,126.0,82.0,42.0,129.0,254.0,0.11194855059192027,11194855,3194855
2017.0,Bradley Beal,23.0,196.0,93.0,Missouri,St. Louis,University of Florida,WAS,SG,23775506.0,77.0,77.0,1779.0,2684.0,20.1,0.259,6.8,1.6,8.5,2.8,637.0,1322.0,223.0,552.0,414.0,770.0,282.0,342.0,53.0,186.0,239.0,267.0,83.0,21.0,157.0,169.0,0.16111979225026538,16111979,-7663527
2017.0,Andrew Nicholson,27.0,206.0,113.0,Canada,Mississauga,St. Bonaventure University,WAS,PF,2844429.0,28.0,0.0,70.0,231.0,6.3,0.156,-0.3,0.3,-0.1,-0.2,30.0,77.0,3.0,16.0,27.0,61.0,7.0,12.0,11.0,23.0,34.0,7.0,11.0,6.0,11.0,37.0,0.008507008442308346,850700,-1993729
2017.0,Trey Burke,24.0,185.0,86.0,Ohio,Columbus,University of Michigan,WAS,PG,784160.0,57.0,0.0,285.0,703.0,10.8,0.114,0.3,0.3,0.5,-0.7,116.0,255.0,31.0,70.0,85.0,185.0,22.0,29.0,7.0,40.0,47.0,100.0,11.0,5.0,48.0,54.0,0.022814743732858054,2281474,1497314
2017.0,Otto Porter,23.0,203.0,89.0,Missouri,St. Louis,Georgetown University,WAS,SF,24773250.0,80.0,80.0,1075.0,2605.0,17.3,0.14800000000000002,6.5,2.9,9.4,3.9,414.0,803.0,148.0,341.0,266.0,462.0,99.0,119.0,118.0,397.0,515.0,121.0,116.0,41.0,43.0,193.0,0.14232795086284233,14232795,-10540455
2017.0,Bojan Bogdanovic,27.0,198.0,92.0,Serbia,Belgrade,Unknown,WAS,SF,10500000.0,26.0,0.0,330.0,601.0,14.7,0.325,0.9,0.3,1.3,-0.1,107.0,234.0,45.0,115.0,62.0,119.0,71.0,76.0,14.0,66.0,80.0,21.0,10.0,4.0,38.0,47.0,0.029104265323197685,2910426,-7589574
2017.0,Chris McCullough,21.0,211.0,90.0,New York,Bronx,Syracuse University,WAS,PF,1471382.0,2.0,0.0,1.0,8.0,1.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,-0.0004655878774615719,-46558,-1517940
2017.0,Kelly Oubre,21.0,201.0,92.0,Louisiana,New Orleans,University of Kansas,WAS,SF,2093040.0,79.0,5.0,501.0,1605.0,9.1,0.224,0.6,1.4,2.1,-0.1,186.0,442.0,54.0,188.0,132.0,254.0,75.0,99.0,61.0,199.0,260.0,47.0,58.0,17.0,49.0,195.0,0.05597590678201933,5597590,3504550
2017.0,Sheldon McClellan,24.0,196.0,90.0,Texas,Houston,University of Miami,WAS,SG,543471.0,30.0,3.0,90.0,287.0,10.1,0.36,0.3,0.2,0.5,-0.1,30.0,75.0,7.0,30.0,23.0,45.0,23.0,27.0,4.0,30.0,34.0,15.0,8.0,2.0,5.0,17.0,0.011748565848100849,1174856,631385
2017.0,Daniel Ochefu,23.0,211.0,111.0,Maryland,Baltimore,Villanova University,WAS,C,50000.0,19.0,0.0,24.0,75.0,6.6,0.07400000000000001,-0.1,0.1,0.0,-0.1,12.0,27.0,0.0,0.0,12.0,27.0,0.0,2.0,5.0,17.0,22.0,3.0,2.0,0.0,3.0,17.0,0.004002254831975937,400225,350225
2017.0,Tomas Satoransky,25.0,201.0,95.0,Czech Republic,Prague,Unknown,WAS,SG,3000000.0,57.0,3.0,154.0,719.0,8.5,0.226,0.1,0.5,0.6,-0.2,61.0,146.0,9.0,37.0,52.0,109.0,23.0,33.0,25.0,58.0,83.0,92.0,26.0,6.0,38.0,60.0,0.021827416512665156,2182741,-817259
