Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2017.0,Mike Dunleavy,36.0,190.0,81.0,New York,Brooklyn,University of South Carolina,TOT,SF,1662500.0,53.0,2.0,275.0,841.0,10.1,0.205,0.8,0.7,1.5,0.0,93.0,220.0,53.0,134.0,40.0,86.0,36.0,45.0,18.0,97.0,115.0,50.0,15.0,7.0,28.0,67.0
2017.0,Mike Dunleavy,36.0,190.0,81.0,New York,Brooklyn,University of South Carolina,CLE,SF,1662500.0,23.0,2.0,106.0,366.0,7.6,0.21100000000000002,0.1,0.2,0.3,-0.2,36.0,90.0,20.0,57.0,16.0,33.0,14.0,19.0,5.0,42.0,47.0,20.0,6.0,2.0,14.0,32.0
2017.0,Mike Dunleavy,36.0,190.0,81.0,New York,Brooklyn,University of South Carolina,ATL,SF,1662500.0,30.0,0.0,169.0,475.0,11.9,0.2,0.7,0.5,1.2,0.1,57.0,130.0,33.0,77.0,24.0,53.0,22.0,26.0,13.0,55.0,68.0,30.0,9.0,5.0,14.0,35.0
2017.0,Gerald Henderson,29.0,188.0,79.0,Virginia,Richmond,Virginia Commonwealth University,PHI,SG,1000000.0,72.0,41.0,662.0,1667.0,10.8,0.298,1.0,1.0,2.1,-0.5,234.0,553.0,61.0,173.0,173.0,380.0,133.0,165.0,34.0,151.0,185.0,112.0,41.0,15.0,62.0,129.0
2017.0,Larry Nance,24.0,208.0,92.0,South Carolina,Anderson,Clemson University,LAL,PF,1471382.0,63.0,7.0,449.0,1442.0,15.8,0.222,2.1,1.5,3.5,1.5,190.0,361.0,10.0,36.0,180.0,325.0,59.0,80.0,120.0,249.0,369.0,96.0,82.0,40.0,56.0,149.0
2017.0,Tim Hardaway,24.0,183.0,79.0,Illinois,Chicago,University of Texas at El Paso,ATL,SG,16500000.0,79.0,30.0,1143.0,2154.0,15.2,0.235,2.7,2.1,4.8,0.9,415.0,912.0,149.0,417.0,266.0,495.0,164.0,214.0,35.0,189.0,224.0,182.0,55.0,15.0,106.0,103.0
2017.0,Glenn Robinson,23.0,201.0,102.0,Indiana,Gary,Purdue University,IND,SF,1524305.0,69.0,27.0,419.0,1426.0,11.5,0.225,1.3,1.2,2.5,0.2,158.0,338.0,49.0,125.0,109.0,213.0,54.0,76.0,57.0,188.0,245.0,47.0,41.0,20.0,37.0,63.0
2017.0,Vince Carter,40.0,198.0,99.0,Florida,Daytona Beach,University of North Carolina,MEM,SF,8000000.0,73.0,15.0,586.0,1799.0,11.7,0.235,1.9,2.1,4.0,1.4,193.0,490.0,112.0,296.0,81.0,194.0,88.0,115.0,36.0,191.0,227.0,133.0,60.0,36.0,50.0,163.0
2017.0,Dirk Nowitzki,38.0,213.0,111.0,Germany,Wurzburg,Unknown,DAL,PF,5000000.0,54.0,54.0,769.0,1424.0,17.0,0.165,0.6,1.9,2.5,0.2,296.0,678.0,79.0,209.0,217.0,469.0,98.0,112.0,23.0,330.0,353.0,82.0,30.0,38.0,51.0,113.0
2017.0,Paul Pierce,39.0,201.0,106.0,California,Oakland,University of Kansas,LAC,SF,1096080.0,25.0,7.0,81.0,277.0,5.7,0.18600000000000003,-0.2,0.3,0.1,-0.2,28.0,70.0,15.0,43.0,13.0,27.0,10.0,13.0,1.0,47.0,48.0,10.0,4.0,5.0,16.0,40.0
2017.0,Jason Terry,39.0,188.0,83.0,Washington,Seattle,University of Arizona,MIL,SG,2328652.0,74.0,0.0,307.0,1365.0,9.0,0.11900000000000001,1.2,0.9,2.1,0.3,105.0,243.0,73.0,171.0,32.0,72.0,24.0,29.0,15.0,91.0,106.0,98.0,45.0,20.0,36.0,95.0
2017.0,Metta World,37.0,190.0,81.0,Unknown,Unknown,Unknown,LAL,SF,1551659.0,25.0,2.0,57.0,160.0,6.2,0.235,-0.3,0.1,-0.2,-0.2,19.0,68.0,9.0,38.0,10.0,30.0,10.0,16.0,5.0,15.0,20.0,11.0,9.0,2.0,7.0,18.0
2017.0,Jamal Crawford,36.0,196.0,90.0,Washington,Seattle,University of Michigan,LAC,SG,10942762.0,82.0,1.0,1008.0,2157.0,12.0,0.23399999999999999,0.5,1.4,1.9,-0.6,359.0,869.0,116.0,322.0,243.0,547.0,174.0,203.0,17.0,112.0,129.0,213.0,59.0,14.0,134.0,115.0
2017.0,Tyson Chandler,34.0,216.0,108.0,California,Hanford,Unknown,PHO,C,13000000.0,47.0,46.0,397.0,1298.0,16.6,0.544,2.7,1.3,4.0,0.5,153.0,228.0,0.0,0.0,153.0,228.0,91.0,124.0,154.0,385.0,539.0,30.0,33.0,24.0,67.0,126.0
2017.0,Pau Gasol,36.0,213.0,113.0,Spain,Barcelona,Unknown,SAS,C,16000000.0,64.0,39.0,792.0,1627.0,20.2,0.305,3.3,3.1,6.4,2.4,303.0,604.0,56.0,104.0,247.0,500.0,130.0,184.0,107.0,394.0,501.0,150.0,24.0,70.0,81.0,110.0
