Meal,Category,Area,Instructions,MealThumb,Source,Ingredients
Garides Saganaki,Seafood,Greek,"Place the prawns in a pot and add enough water to cover. Boil for 5 minutes. Drain, reserving the liquid, and set aside.
Heat 2 tablespoons of oil in a saucepan. Add the onion; cook and stir until soft. Mix in the parsley, wine, tomatoes, garlic and remaining olive oil. Simmer, stirring occasionally, for about 30 minutes, or until the sauce is thickened.
While the sauce is simmering, the prawns should become cool enough to handle. First remove the legs by pinching them, and then pull off the shells, leaving the head and tail on.
When the sauce has thickened, stir in the prawns. Bring to a simmer again if the sauce has cooled with the prawns, and cook for about 5 minutes. Add the feta and remove from the heat. Let stand until the cheese starts to melt. Serve warm with slices of crusty bread.
Though completely untraditional, you can add a few tablespoons of stock or passata to this recipe to make a delicious pasta sauce. Toss with pasta after adding the feta, and serve.",https://www.themealdb.com/images/media/meals/wuvryu1468232995.jpg,,"500g Raw king prawns, 3 tablespoons Olive oil, 1 Chopped onion, pinch Freshly chopped parsley, 250ml White wine, 1 (400g) tin Chopped tomatoes, 1/2 teaspoon Minced garlic, 1 (200g) pack Cubed Feta cheese,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Chicken Enchilada Casserole,Chicken,Mexican,"Cut each chicken breast in about 3 pieces, so that it cooks faster and put it in a small pot. Pour Enchilada sauce over it and cook covered on low to medium heat until chicken is cooked through, about 20 minutes. No water is needed, the chicken will cook in the Enchilada sauce. Make sure you stir occasionally so that it doesn't stick to the bottom.
Remove chicken from the pot and shred with two forks.
Preheat oven to 375 F degrees.
Start layering the casserole. Start with about ¼ cup of the leftover Enchilada sauce over the bottom of a baking dish. I used a longer baking dish, so that I can put 2 corn tortillas across. Place 2 tortillas on the bottom, top with ⅓ of the chicken and ⅓ of the remaining sauce. Sprinkle with ⅓ of the cheese and repeat starting with 2 more tortillas, then chicken, sauce, cheese. Repeat with last layer with the remaining ingredients, tortillas, chicken, sauce and cheese.
Bake for 20 to 30 minutes uncovered, until bubbly and cheese has melted and started to brown on top.
Serve warm.",https://www.themealdb.com/images/media/meals/qtuwxu1468233098.jpg,,"14 oz jar Enchilada sauce, 3 Cups shredded Monterey Jack cheese, 6 corn tortillas, 2 chicken breasts,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Bakewell tart,Desert,British,"To make the pastry, measure the flour into a bowl and rub in the butter with your fingertips until the mixture resembles fine breadcrumbs. Add the water, mixing to form a soft dough.
Roll out the dough on a lightly floured work surface and use to line a 20cm/8in flan tin. Leave in the fridge to chill for 30 minutes.
Preheat the oven to 200C/400F/Gas 6 (180C fan).
Line the pastry case with foil and fill with baking beans. Bake blind for about 15 minutes, then remove the beans and foil and cook for a further five minutes to dry out the base.
For the filing, spread the base of the flan generously with raspberry jam.
Melt the butter in a pan, take off the heat and then stir in the sugar. Add ground almonds, egg and almond extract. Pour into the flan tin and sprinkle over the flaked almonds.
Bake for about 35 minutes. If the almonds seem to be browning too quickly, cover the tart loosely with foil to prevent them burning.",https://www.themealdb.com/images/media/meals/wyrqqq1468233628.jpg,,"175g/6oz plain flour, 75g/2½oz chilled butter, 2-3 tbsp cold water, 1 tbsp raspberry jam, 125g/4½oz butter, 125g/4½oz caster sugar, 125g/4½oz ground almonds, 1 free-range egg, beaten, ½ tsp almond extract, 50g/1¾oz flaked almonds,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Apple Frangipan Tart,Desert,British,"Preheat the oven to 200C/180C Fan/Gas 6.
Put the biscuits in a large re-sealable freezer bag and bash with a rolling pin into fine crumbs. Melt the butter in a small pan, then add the biscuit crumbs and stir until coated with butter. Tip into the tart tin and, using the back of a spoon, press over the base and sides of the tin to give an even layer. Chill in the fridge while you make the filling.
Cream together the butter and sugar until light and fluffy. You can do this in a food processor if you have one. Process for 2-3 minutes. Mix in the eggs, then add the ground almonds and almond extract and blend until well combined.
Peel the apples, and cut thin slices of apple. Do this at the last minute to prevent the apple going brown. Arrange the slices over the biscuit base. Spread the frangipane filling evenly on top. Level the surface and sprinkle with the flaked almonds.
Bake for 20-25 minutes until golden-brown and set.
Remove from the oven and leave to cool for 15 minutes. Remove the sides of the tin. An easy way to do this is to stand the tin on a can of beans and push down gently on the edges of the tin.
Transfer the tart, with the tin base attached, to a serving plate. Serve warm with cream, crème fraiche or ice cream.",https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg,,"175g/6oz digestive biscuits, 75g/3oz butter, 200g/7oz Bramley apples, 75g/3oz butter, softened, 75g/3oz caster sugar, 2 free-range eggs, beaten, 75g/3oz ground almonds, 1 tsp almond extract, 50g/1¾oz flaked almonds,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Kapsalon,Lamb,Dutch,"Cut the meat into strips. Heat oil in a pan and fry the strips for 6 minutes until it's ready.
Bake the fries until golden brown in a deep fryrer. When ready transfer to a backing dish. Make sure the fries are spread over the whole dish.
Cover the fries with a new layer of meat and spread evenly.
Add a layer of cheese over the meat. You can also use grated cheese. When done put in the oven for a few minutes until the cheese is melted.
Chop the lettuce, tomato and cucumber in small pieces and mix together. for a basic salad. As extra you can add olives jalapenos and a red union.
Dived the salad over the dish and Serve with garlicsauce and hot sauce",https://www.themealdb.com/images/media/meals/sxysrt1468240488.jpg,,"250 Grams Fries, 500 Grams Doner Meat, Topping Garlic sauce, Topping Hotsauce, 1 Bulb Lettuce, 1 Tomato, 3rd Cucumber, 100 Grams Gouda cheese,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Spaghetti Bolognese,Beef,Italian,"Put the onion and oil in a large pan and fry over a fairly high heat for 3-4 mins. Add the garlic and mince and fry until they both brown. Add the mushrooms and herbs, and cook for another couple of mins.

Stir in the tomatoes, beef stock, tomato ketchup or purée, Worcestershire sauce and seasoning. Bring to the boil, then reduce the heat, cover and simmer, stirring occasionally, for 30 mins.

Meanwhile, cook the spaghetti in a large pan of boiling, salted water, according to packet instructions. Drain well, run hot water through it, put it back in the pan and add a dash of olive oil, if you like, then stir in the meat sauce. Serve in hot bowls and hand round Parmesan cheese, for sprinkling on top.",https://www.themealdb.com/images/media/meals/sutysw1468247559.jpg,,"2 onions, 1tbsp olive oil, 1 clove garlic, 500g lean minced beef, 90g mushrooms, 1tsp dried oregano, 400g can tomatoes, 300ml hot beef stock, 1tbsp tomato puree, 1tbsp worcestershire sauce, 350g spaghetti, Topping parmesan,  ,  ,  ,  ,  ,  ,  ,  "
Spicy Arrabiata Penne,Vegetarian,Italian,"Bring a large pot of water to a boil. Add kosher salt to the boiling water, then add the pasta. Cook according to the package instructions, about 9 minutes.
In a large skillet over medium-high heat, add the olive oil and heat until the oil starts to shimmer. Add the garlic and cook, stirring, until fragrant, 1 to 2 minutes. Add the chopped tomatoes, red chile flakes, Italian seasoning and salt and pepper to taste. Bring to a boil and cook for 5 minutes. Remove from the heat and add the chopped basil.
Drain the pasta and add it to the sauce. Garnish with Parmigiano-Reggiano flakes and more basil and serve warm.",https://www.themealdb.com/images/media/meals/ustsqw1468250014.jpg,,"1 pound penne rigate, 1/4 cup olive oil, 3 cloves garlic, 1 tin  chopped tomatoes, 1/2 teaspoon red chile flakes, 1/2 teaspoon italian seasoning, 6 leaves basil, spinkling Parmigiano-Reggiano,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Teriyaki Chicken Casserole,Chicken,Japanese,"Preheat oven to 350° F. Spray a 9x13-inch baking pan with non-stick spray.
Combine soy sauce, ½ cup water, brown sugar, ginger and garlic in a small saucepan and cover. Bring to a boil over medium heat. Remove lid and cook for one minute once boiling.
Meanwhile, stir together the corn starch and 2 tablespoons of water in a separate dish until smooth. Once sauce is boiling, add mixture to the saucepan and stir to combine. Cook until the sauce starts to thicken then remove from heat.
Place the chicken breasts in the prepared pan. Pour one cup of the sauce over top of chicken. Place chicken in oven and bake 35 minutes or until cooked through. Remove from oven and shred chicken in the dish using two forks.
*Meanwhile, steam or cook the vegetables according to package directions.
Add the cooked vegetables and rice to the casserole dish with the chicken. Add most of the remaining sauce, reserving a bit to drizzle over the top when serving. Gently toss everything together in the casserole dish until combined. Return to oven and cook 15 minutes. Remove from oven and let stand 5 minutes before serving. Drizzle each serving with remaining sauce. Enjoy!",https://www.themealdb.com/images/media/meals/wvpsxx1468256321.jpg,,"3/4 cup soy sauce, 1/2 cup water, 1/4 cup brown sugar, 1/2 teaspoon ground ginger, 1/2 teaspoon minced garlic, 4 Tablespoons cornstarch, 2 chicken breasts, 1 (12 oz.) stir-fry vegetables, 3 cups brown rice,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Honey Teriyaki Salmon,Seafood,Japanese,"Mix all the ingredients in the Honey Teriyaki Glaze together. Whisk to blend well. Combine the salmon and the Glaze together.

Heat up a skillet on medium-low heat. Add the oil, Pan-fry the salmon on both sides until it’s completely cooked inside and the glaze thickens.

Garnish with sesame and serve immediately.",https://www.themealdb.com/images/media/meals/xxyupu1468262513.jpg,,"1 lb Salmon, 1 tablespoon Olive oil, 2 tablespoons Soy Sauce, 2 tablespoons Sake, 4 tablespoons Sesame Seed,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  "
Pad See Ew,Chicken,Thai,"Mix Sauce in small bowl.
Mince garlic into wok with oil. Place over high heat, when hot, add chicken and Chinese broccoli stems, cook until chicken is light golden.
Push to the side of the wok, crack egg in and scramble. Don't worry if it sticks to the bottom of the wok - it will char and which adds authentic flavour.
Add noodles, Chinese broccoli leaves and sauce. Gently mix together until the noodles are stained dark and leaves are wilted. Serve immediately!",https://www.themealdb.com/images/media/meals/uuuspp1468263334.jpg,,"6oz/180g rice stick noodles, 2 tbsp dark soy sauce, 2 tbsp oyster sauce, 2 tsp soy sauce, 2 tsp white vinegar, 2 tsp sugar, 2 tbsp water, 2 tbsp peanut oil, 2 cloves garlic, 1 cup Chicken, 1 Egg, 4 cups Chinese broccoli,  ,  ,  ,  ,  ,  ,  ,  "
